Time_s,ADC
0.0,68
0.0,67
0.0,66
0.0,65
0.01,64
0.01,63
0.01,62
0.01,62
0.01,61
0.01,62
0.01,61
0.02,60
0.02,59
0.02,58
0.02,58
0.02,57
0.02,55
0.03,54
0.03,54
0.03,53
0.03,53
0.03,52
0.03,52
0.03,54
0.04,54
0.04,54
0.04,53
0.04,52
0.04,53
0.04,54
0.05,55
0.05,56
0.05,55
0.05,56
0.05,55
0.05,55
0.05,56
0.06,55
0.06,54
0.06,55
0.06,55
0.06,54
0.06,54
0.07,53
0.07,52
0.07,53
0.07,52
0.07,51
0.07,50
0.07,49
0.08,51
0.08,51
0.08,52
0.08,52
0.08,51
0.08,50
0.09,49
0.09,49
0.09,50
0.09,49
0.09,48
0.09,48
0.1,48
0.1,48
0.1,49
0.1,48
0.1,48
0.1,48
0.1,49
0.11,48
0.11,48
0.11,47
0.11,47
0.11,47
0.11,48
0.11,48
0.12,47
0.12,45
0.12,44
0.12,45
0.12,44
0.12,44
0.12,43
0.13,44
0.13,44
0.13,45
0.13,44
0.13,44
0.13,44
0.14,44
0.14,46
0.14,48
0.14,47
0.14,47
0.14,47
0.14,49
0.15,52
0.15,54
0.15,54
0.15,54
0.15,53
0.15,54
0.16,55
0.16,54
0.16,53
0.16,53
0.16,54
0.16,54
0.17,54
0.17,53
0.17,51
0.17,52
0.17,53
0.17,53
0.17,51
0.18,53
0.18,54
0.18,54
0.18,53
0.18,53
0.18,53
0.19,52
0.19,53
0.19,54
0.19,56
0.19,55
0.19,55
0.19,58
0.2,63
0.2,63
0.2,62
0.2,63
0.2,63
0.2,65
0.2,65
0.21,65
0.21,64
0.21,64
0.21,63
0.21,64
0.22,64
0.22,63
0.22,62
0.22,61
0.22,64
0.22,64
0.22,63
0.22,64
0.23,65
0.23,64
0.23,63
0.23,62
0.23,61
0.23,60
0.24,59
0.24,60
0.24,60
0.24,61
0.24,63
0.24,65
0.25,65
0.25,66
0.25,65
0.25,63
0.25,61
0.25,62
0.25,65
0.26,67
0.26,68
0.26,66
0.26,68
0.26,71
0.26,73
0.26,72
0.27,69
0.27,68
0.27,67
0.27,66
0.27,64
0.27,63
0.28,63
0.28,62
0.28,61
0.28,61
0.28,60
0.28,59
0.28,58
0.29,58
0.29,59
0.29,59
0.29,59
0.29,62
0.29,64
0.3,66
0.3,65
0.3,64
0.3,63
0.3,61
0.3,60
0.31,60
0.31,59
0.31,58
0.31,57
0.31,56
0.31,54
0.31,54
0.32,53
0.32,58
0.32,60
0.32,60
0.32,62
0.32,62
0.32,62
0.33,66
0.33,69
0.33,70
0.33,68
0.33,67
0.33,66
0.34,65
0.34,64
0.34,63
0.34,63
0.34,62
0.34,60
0.35,60
0.35,62
0.35,62
0.35,60
0.35,59
0.35,58
0.35,57
0.36,57
0.36,55
0.36,56
0.36,56
0.36,57
0.36,57
0.37,56
0.37,57
0.37,58
0.37,63
0.37,68
0.37,67
0.37,71
0.38,77
0.38,79
0.38,80
0.38,80
0.38,78
0.38,76
0.39,74
0.39,74
0.39,73
0.39,72
0.39,70
0.39,70
0.4,69
0.4,68
0.4,67
0.4,68
0.4,67
0.4,65
0.4,65
0.41,63
0.41,62
0.41,64
0.41,66
0.41,66
0.41,68
0.41,67
0.42,65
0.42,64
0.42,62
0.42,63
0.42,63
0.42,63
0.43,64
0.43,64
0.43,64
0.43,63
0.43,66
0.43,73
0.44,77
0.44,76
0.44,75
0.44,74
0.44,72
0.44,72
0.44,71
0.45,70
0.45,69
0.45,69
0.45,70
0.45,68
0.45,67
0.45,66
0.46,64
0.46,62
0.46,63
0.46,64
0.46,65
0.46,67
0.46,66
0.47,64
0.47,63
0.47,63
0.47,63
0.47,63
0.47,61
0.48,61
0.48,60
0.48,58
0.48,58
0.48,58
0.48,59
0.49,60
0.49,59
0.49,59
0.49,58
0.49,59
0.49,61
0.5,61
0.5,62
0.5,61
0.5,60
0.5,59
0.5,59
0.5,63
0.51,65
0.51,65
0.51,65
0.51,66
