Time_s,ADC
0.0,15
0.0,16
0.0,17
0.0,17
0.01,17
0.01,17
0.01,16
0.01,17
0.01,16
0.01,16
0.01,16
0.02,16
0.02,16
0.02,16
0.02,16
0.02,16
0.02,16
0.03,16
0.03,16
0.03,16
0.03,16
0.03,16
0.03,16
0.03,15
0.04,16
0.04,16
0.04,16
0.04,15
0.04,15
0.04,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.06,15
0.06,15
0.06,15
0.06,15
0.06,15
0.06,15
0.07,15
0.07,14
0.07,15
0.07,15
0.07,15
0.07,15
0.07,15
0.08,15
0.08,15
0.08,15
0.08,15
0.08,15
0.08,15
0.09,14
0.09,15
0.09,15
0.09,15
0.09,15
0.09,14
0.1,14
0.1,15
0.1,14
0.1,14
0.1,14
0.1,14
0.1,14
0.11,14
0.11,14
0.11,14
0.11,14
0.11,14
0.11,14
0.11,14
0.12,14
0.12,14
0.12,14
0.12,14
0.12,14
0.12,14
0.12,14
0.13,14
0.13,14
0.13,14
0.13,14
0.13,14
0.13,14
0.14,14
0.14,14
0.14,14
0.14,14
0.14,14
0.14,14
0.14,14
0.15,15
0.15,14
0.15,14
0.15,14
0.15,14
0.15,14
0.16,14
0.16,14
0.16,14
0.16,14
0.16,14
0.16,14
0.17,14
0.17,14
0.17,14
0.17,14
0.17,14
0.17,14
0.17,14
0.18,14
0.18,14
0.18,14
0.18,14
0.18,14
0.18,14
0.19,14
0.19,14
0.19,14
0.19,14
0.19,14
0.19,14
0.19,14
0.2,14
0.2,14
0.2,14
0.2,14
0.2,14
0.2,14
0.2,14
0.21,14
0.21,14
0.21,14
0.21,14
0.21,14
0.22,14
0.22,14
0.22,14
0.22,14
0.22,14
0.22,14
0.22,14
0.22,14
0.23,14
0.23,14
0.23,14
0.23,14
0.23,14
0.23,14
0.24,14
0.24,14
0.24,14
0.24,14
0.24,14
0.24,14
0.25,14
0.25,14
0.25,14
0.25,14
0.25,14
0.25,14
0.25,14
0.26,14
0.26,14
0.26,14
0.26,14
0.26,14
0.26,14
0.26,14
0.27,14
0.27,14
0.27,14
0.27,14
0.27,14
0.27,14
0.28,14
0.28,14
0.28,14
0.28,14
0.28,14
0.28,14
0.28,14
0.29,14
0.29,14
0.29,14
0.29,14
0.29,14
0.29,14
0.3,14
0.3,14
0.3,14
0.3,14
0.3,14
0.3,14
0.31,14
0.31,14
0.31,14
0.31,14
0.31,14
0.31,14
0.31,14
0.32,14
0.32,14
0.32,14
0.32,14
0.32,14
0.32,14
0.32,14
0.33,14
0.33,14
0.33,14
0.33,14
0.33,14
0.33,14
0.34,14
0.34,14
0.34,14
0.34,14
0.34,14
0.34,14
0.35,14
0.35,14
0.35,14
0.35,14
0.35,14
0.35,14
0.35,14
0.36,14
0.36,14
0.36,14
0.36,14
0.36,14
0.36,14
0.37,14
0.37,14
0.37,14
0.37,14
0.37,14
0.37,14
0.37,14
0.38,14
0.38,14
0.38,14
0.38,14
0.38,14
0.38,14
0.39,14
0.39,14
0.39,14
0.39,14
0.39,14
0.39,14
0.4,14
0.4,14
0.4,14
0.4,14
0.4,14
0.4,14
0.4,14
0.41,14
0.41,14
0.41,14
0.41,14
0.41,14
0.41,14
0.41,14
0.42,14
0.42,14
0.42,14
0.42,14
0.42,14
0.42,14
0.43,14
0.43,14
0.43,14
0.43,14
0.43,14
0.43,14
0.44,14
0.44,14
0.44,14
0.44,14
0.44,14
0.44,14
0.44,15
0.45,14
0.45,14
0.45,14
0.45,15
0.45,14
0.45,14
0.45,14
0.46,14
0.46,14
0.46,14
0.46,14
0.46,14
0.46,14
0.46,14
0.47,14
0.47,14
0.47,14
0.47,14
0.47,14
0.47,14
0.48,14
0.48,14
0.48,14
0.48,14
0.48,14
0.48,14
0.49,14
0.49,14
0.49,14
0.49,14
0.49,14
0.49,14
0.5,14
0.5,14
0.5,14
0.5,14
0.5,14
0.5,14
0.5,14
0.5,14
0.51,14
0.51,14
0.51,14
0.51,14
0.51,14
0.52,14
0.52,14
0.52,14
0.52,14
0.52,14
0.52,14
0.52,14
0.53,14
0.53,14
0.53,14
0.53,14
0.53,14
0.53,14
0.54,14
0.54,14
0.54,14
0.54,14
0.54,14
0.54,14
0.54,14
0.55,14
0.55,14
0.55,14
0.55,14
0.55,14
0.55,14
0.56,14
0.56,14
0.56,14
0.56,14
0.56,14
0.56,14
0.56,14
0.57,14
0.57,14
0.57,14
0.57,14
0.57,14
0.57,14
0.57,14
0.58,14
0.58,14
0.58,14
0.58,14
0.58,14
0.58,14
0.59,14
0.59,14
0.59,14
0.59,14
0.59,14
0.59,14
0.6,14
0.6,14
0.6,14
0.6,14
0.6,14
0.6,14
0.61,14
0.61,14
0.61,14
0.61,14
0.61,14
0.61,14
0.61,14
0.61,14
0.62,14
0.62,14
0.62,14
0.62,14
0.62,14
0.62,14
0.63,14
0.63,14
0.63,14
0.63,14
0.63,14
0.63,14
0.63,14
0.64,14
0.64,14
0.64,14
0.64,14
0.64,14
0.65,14
0.65,14
0.65,14
0.65,14
0.65,14
0.65,14
0.65,14
0.66,14
0.66,14
0.66,14
0.66,14
0.66,14
0.66,14
0.67,14
0.67,105
0.67,932
0.67,933
0.67,933
0.67,933
