Time_s,ADC
0.0,24
0.0,23
0.0,23
0.0,23
0.01,23
0.01,23
0.01,23
0.01,22
0.01,22
0.01,22
0.01,22
0.02,22
0.02,22
0.02,22
0.02,21
0.02,21
0.02,21
0.03,21
0.03,22
0.03,21
0.03,22
0.03,22
0.03,22
0.03,21
0.04,22
0.04,23
0.04,24
0.04,24
0.04,24
0.04,23
0.05,23
0.05,24
0.05,25
0.05,25
0.05,24
0.05,25
0.05,24
0.06,25
0.06,24
0.06,24
0.06,24
0.06,24
0.06,23
0.07,23
0.07,23
0.07,23
0.07,23
0.07,23
0.07,22
0.07,22
0.08,22
0.08,22
0.08,21
0.08,22
0.08,22
0.08,21
0.09,21
0.09,21
0.09,22
0.09,22
0.09,22
0.09,22
0.1,22
0.1,22
0.1,22
0.1,22
0.1,22
0.1,22
0.1,22
0.11,23
0.11,23
0.11,23
0.11,23
0.11,22
0.11,23
0.11,24
0.12,25
0.12,26
0.12,25
0.12,26
0.12,26
0.12,26
0.12,26
0.13,26
0.13,25
0.13,25
0.13,26
0.13,26
0.13,26
0.14,25
0.14,25
0.14,25
0.14,24
0.14,24
0.14,24
0.14,24
0.15,24
0.15,24
0.15,23
0.15,23
0.15,23
0.15,23
0.16,23
0.16,23
0.16,23
0.16,22
0.16,22
0.16,23
0.17,23
0.17,23
0.17,22
0.17,23
0.17,23
0.17,24
0.17,23
0.18,23
0.18,23
0.18,22
0.18,23
0.18,23
0.18,23
0.19,23
0.19,24
0.19,24
0.19,24
0.19,24
0.19,24
0.19,24
0.2,24
0.2,24
0.2,24
0.2,24
0.2,24
0.2,24
0.2,24
0.21,24
0.21,23
0.21,24
0.21,23
0.21,24
0.22,25
0.22,25
0.22,25
0.22,24
0.22,24
0.22,25
0.22,25
0.22,25
0.23,25
0.23,24
0.23,25
0.23,25
0.23,24
0.23,24
0.24,24
0.24,24
0.24,24
0.24,23
0.24,23
0.24,23
0.25,23
0.25,23
0.25,23
0.25,23
0.25,23
0.25,23
0.25,23
0.26,23
0.26,23
0.26,23
0.26,23
0.26,23
0.26,24
0.26,24
0.27,24
0.27,24
0.27,23
0.27,24
0.27,24
0.27,24
0.28,24
0.28,23
0.28,23
0.28,24
0.28,25
0.28,25
0.28,24
0.29,24
0.29,24
0.29,24
0.29,24
0.29,24
0.29,24
0.3,23
0.3,24
0.3,24
0.3,23
0.3,24
0.3,24
0.31,23
0.31,23
0.31,23
0.31,23
0.31,22
0.31,22
0.31,23
0.32,23
0.32,23
0.32,23
0.32,23
0.32,23
0.32,23
0.32,23
0.33,22
0.33,22
0.33,23
0.33,23
0.33,24
0.33,23
0.34,23
0.34,23
0.34,23
0.34,24
0.34,23
0.34,23
0.35,22
0.35,23
0.35,23
0.35,23
0.35,22
0.35,22
0.35,22
0.36,23
0.36,23
0.36,23
0.36,22
0.36,22
0.36,24
0.37,24
0.37,24
0.37,23
0.37,23
0.37,23
0.37,23
0.37,23
0.38,23
0.38,23
0.38,23
0.38,23
0.38,23
0.38,23
0.39,23
0.39,23
0.39,22
0.39,22
0.39,22
0.39,21
0.4,21
0.4,22
0.4,22
0.4,22
0.4,22
0.4,22
0.4,21
0.41,22
0.41,22
0.41,22
0.41,22
0.41,22
0.41,22
0.41,22
0.42,22
0.42,22
0.42,22
0.42,22
0.42,22
0.42,22
0.43,22
0.43,21
0.43,21
0.43,22
0.43,23
0.43,23
0.44,23
0.44,23
0.44,23
0.44,23
0.44,24
0.44,23
0.44,23
0.45,22
0.45,23
0.45,23
0.45,24
0.45,23
0.45,24
0.45,24
0.46,24
0.46,23
0.46,23
0.46,23
0.46,23
0.46,23
0.46,23
0.47,23
0.47,22
0.47,22
0.47,22
0.47,22
0.47,22
0.48,22
0.48,22
0.48,22
0.48,21
0.48,21
0.48,21
0.49,21
0.49,20
0.49,20
0.49,20
0.49,20
0.49,20
0.5,20
0.5,20
0.5,21
0.5,21
0.5,20
0.5,21
0.5,21
0.5,21
0.51,21
0.51,21
0.51,21
0.51,21
0.51,21
0.52,21
0.52,21
0.52,21
0.52,21
0.52,21
0.52,22
0.52,21
0.53,21
0.53,21
0.53,21
0.53,21
0.53,21
0.53,21
0.54,20
0.54,21
0.54,20
0.54,20
0.54,20
0.54,20
0.54,20
0.55,19
0.55,20
0.55,20
0.55,20
0.55,20
0.55,21
0.56,21
0.56,22
0.56,22
0.56,22
0.56,21
0.56,21
0.56,23
0.57,25
0.57,24
0.57,24
0.57,24
0.57,23
0.57,23
0.57,23
0.58,23
0.58,23
0.58,23
0.58,23
0.58,22
0.58,22
0.59,22
0.59,22
0.59,22
0.59,22
0.59,22
0.59,22
0.6,21
0.6,22
0.6,21
0.6,21
0.6,21
0.6,21
0.61,21
0.61,20
0.61,21
0.61,20
0.61,20
0.61,20
0.61,20
0.61,20
0.62,20
0.62,20
0.62,20
0.62,20
0.62,20
0.62,20
0.63,20
0.63,20
0.63,20
0.63,21
0.63,21
0.63,21
0.63,21
0.64,21
0.64,22
0.64,22
0.64,23
0.64,22
0.65,22
0.65,22
0.65,23
0.65,23
0.65,23
0.65,23
0.65,23
0.66,22
0.66,23
0.66,22
0.66,22
0.66,22
0.66,22
0.67,23
0.67,23
0.67,23
0.67,23
0.67,23
0.67,23
0.67,23
0.68,23
0.68,23
0.68,23
0.68,23
0.68,23
0.68,23
0.69,23
0.69,24
0.69,23
0.69,23
0.69,23
0.69,23
0.69,23
0.7,23
0.7,24
0.7,24
0.7,24
0.7,24
0.7,24
0.7,25
0.71,25
0.71,25
0.71,25
0.71,25
0.71,24
0.71,24
0.71,25
0.72,25
0.72,24
0.72,25
0.72,24
0.72,25
0.72,24
0.73,24
0.73,24
0.73,24
0.73,24
0.73,25
0.74,24
0.74,24
0.74,25
0.74,24
0.74,24
0.74,24
0.74,24
0.75,24
0.75,24
0.75,24
0.75,24
0.75,24
0.75,24
0.75,25
0.76,25
0.76,24
0.76,24
0.76,24
0.76,24
0.76,23
0.76,24
0.77,24
0.77,24
0.77,24
0.77,23
0.77,23
0.77,23
0.78,22
0.78,22
0.78,22
0.78,22
0.78,22
0.78,22
0.79,21
0.79,22
0.79,22
0.79,22
0.79,22
0.79,22
0.79,22
0.8,22
0.8,23
0.8,23
0.8,22
0.8,22
0.8,22
0.81,22
0.81,23
0.81,23
0.81,23
0.81,23
0.81,22
0.81,23
0.82,23
0.82,24
0.82,23
0.82,23
0.82,23
0.82,22
0.83,22
0.83,22
0.83,22
0.83,21
0.83,22
0.83,22
0.83,22
0.84,22
0.84,22
0.84,22
0.84,22
0.84,22
0.84,22
0.85,22
0.85,22
0.85,22
0.85,22
0.85,21
0.85,21
0.86,21
0.86,21
0.86,21
0.86,21
0.86,21
0.86,20
0.86,20
0.86,21
0.87,21
0.87,20
0.87,20
0.87,20
0.87,21
0.88,21
0.88,21
0.88,21
0.88,21
0.88,21
0.88,22
0.88,22
0.88,22
0.89,22
0.89,23
0.89,23
0.89,23
0.89,23
0.89,22
0.9,22
0.9,22
0.9,22
0.9,22
0.9,21
0.9,22
0.91,21
0.91,22
0.91,22
0.91,22
0.91,21
0.91,21
0.91,23
0.92,23
0.92,23
0.92,23
0.92,23
0.92,23
0.92,23
0.93,23
0.93,23
0.93,23
0.93,22
0.93,22
0.93,23
0.93,23
0.94,22
0.94,22
0.94,22
0.94,22
0.94,22
0.94,21
0.95,21
0.95,21
0.95,22
0.95,23
0.95,22
0.95,22
0.95,22
0.96,22
0.96,23
0.96,23
0.96,22
0.96,22
0.96,23
0.96,24
0.97,24
0.97,24
0.97,24
0.97,23
0.97,23
0.97,23
0.98,23
0.98,22
0.98,22
0.98,22
0.98,22
0.98,22
0.99,21
0.99,21
0.99,21
0.99,22
0.99,22
0.99,21
1.0,21
1.0,21
1.0,21
1.0,21
1.0,21
1.0,21
1.0,22
1.01,22
1.01,22
1.01,22
1.01,21
1.01,21
1.01,21
1.01,21
1.02,21
1.02,21
1.02,21
1.02,22
1.02,22
1.02,22
1.03,22
1.03,22
1.03,21
1.03,22
1.03,22
1.03,22
1.03,22
1.04,22
1.04,22
1.04,22
1.04,21
1.04,22
1.04,21
1.05,21
1.05,21
1.05,22
1.05,22
1.05,21
1.05,21
1.05,21
1.06,21
1.06,21
1.06,21
1.06,21
1.06,21
1.06,21
1.07,22
1.07,22
1.07,21
1.07,22
1.07,22
1.07,22
1.08,22
1.08,22
1.08,22
1.08,21
1.08,22
1.08,23
1.08,23
1.09,23
1.09,23
1.09,23
1.09,23
1.09,23
1.09,23
1.1,23
1.1,23
1.1,24
1.1,25
1.1,26
1.1,26
1.1,25
1.11,25
1.11,25
1.11,24
1.11,24
1.11,24
1.11,23
1.12,24
1.12,23
1.12,23
1.12,23
1.12,23
1.12,23
1.12,23
1.13,22
1.13,22
1.13,22
1.13,22
1.13,22
1.13,22
1.13,22
1.14,23
1.14,24
1.14,23
1.14,23
1.14,24
1.14,24
1.15,24
1.15,26
1.15,26
1.15,26
1.15,26
1.15,27
1.16,27
1.16,26
1.16,26
1.16,27
1.16,28
1.16,27
1.16,27
1.17,27
1.17,27
1.17,28
1.17,30
1.17,32
1.17,33
1.18,33
1.18,35
1.18,35
1.18,37
1.18,40
1.18,40
1.18,39
1.19,38
1.19,39
1.19,38
1.19,38
1.19,37
1.2,37
1.2,37
1.2,36
1.2,36
1.2,36
1.2,35
1.2,35
1.21,34
1.21,34
1.21,33
1.21,33
1.21,32
1.21,32
1.21,31
1.22,31
1.22,30
1.22,30
1.22,31
1.22,31
1.22,30
1.23,29
1.23,30
1.23,29
1.23,29
1.23,29
1.23,28
1.23,28
1.24,27
1.24,27
1.24,28
1.24,28
1.24,28
1.24,28
1.25,27
1.25,27
1.25,27
1.25,27
1.25,27
1.25,27
1.25,26
1.26,26
1.26,26
1.26,26
1.26,25
1.26,25
1.26,25
1.26,25
1.27,25
1.27,25
1.27,25
1.27,25
1.27,25
1.27,26
1.28,25
1.28,25
1.28,25
1.28,26
1.28,26
1.28,27
1.29,26
1.29,26
1.29,26
1.29,26
1.29,26
1.29,26
1.29,26
1.3,25
1.3,25
1.3,25
1.3,25
1.3,25
1.3,25
