Time_s,ADC
0.0,49
0.0,49
0.0,51
0.0,51
0.01,51
0.01,50
0.01,52
0.01,52
0.01,53
0.01,52
0.01,51
0.02,50
0.02,50
0.02,51
0.02,51
0.02,50
0.02,50
0.03,51
0.03,51
0.03,53
0.03,51
0.03,51
0.03,49
0.03,50
0.04,50
0.04,50
0.04,49
0.04,51
0.04,50
0.04,50
0.05,50
0.05,49
0.05,49
0.05,48
0.05,47
0.05,47
0.05,46
0.06,45
0.06,46
0.06,46
0.06,47
0.06,46
0.06,46
0.07,45
0.07,44
0.07,45
0.07,45
0.07,45
0.07,45
0.07,44
0.08,44
0.08,45
0.08,46
0.08,45
0.08,44
0.08,43
0.09,44
0.09,45
0.09,45
0.09,44
0.09,44
0.09,44
0.1,44
0.1,44
0.1,43
0.1,43
0.1,42
0.1,42
0.1,42
0.11,41
0.11,41
0.11,42
0.11,42
0.11,42
0.11,41
0.11,41
0.12,40
0.12,40
0.12,41
0.12,41
0.12,40
0.12,40
0.12,41
0.13,41
0.13,42
0.13,42
0.13,41
0.13,40
0.13,41
0.14,43
0.14,44
0.14,43
0.14,43
0.14,43
0.14,44
0.14,46
0.15,45
0.15,44
0.15,43
0.15,44
0.15,45
0.15,45
0.16,44
0.16,45
0.16,45
0.16,46
0.16,46
0.16,46
0.17,45
0.17,44
0.17,45
0.17,46
0.17,45
0.17,45
0.17,46
0.18,46
0.18,47
0.18,47
0.18,47
0.18,46
0.18,45
0.19,46
0.19,48
0.19,47
0.19,46
0.19,47
0.19,47
0.19,48
0.2,48
0.2,48
0.2,47
0.2,46
0.2,47
0.2,48
0.2,47
0.21,47
0.21,47
0.21,48
0.21,50
0.21,49
0.22,49
0.22,48
0.22,47
0.22,48
0.22,47
0.22,47
0.22,46
0.22,47
0.23,46
0.23,46
0.23,46
0.23,46
0.23,45
0.23,45
0.24,46
0.24,46
0.24,45
0.24,45
0.24,46
0.24,47
0.25,48
0.25,47
0.25,46
0.25,45
0.25,46
0.25,48
0.25,49
0.26,48
0.26,49
0.26,49
0.26,50
0.26,50
0.26,48
0.26,48
0.27,47
0.27,48
0.27,49
0.27,49
