Time_s,ADC
0.0,36
0.0,37
0.0,37
0.0,36
0.01,35
0.01,36
0.01,34
0.01,35
0.01,35
0.01,36
0.01,34
0.02,35
0.02,35
0.02,35
0.02,35
0.02,35
0.02,35
0.03,34
0.03,34
0.03,35
0.03,35
0.03,35
0.03,34
0.03,35
0.04,35
0.04,35
0.04,35
0.04,35
0.04,35
0.04,35
0.05,35
0.05,35
0.05,35
0.05,36
0.05,37
0.05,36
0.05,36
0.06,35
0.06,35
0.06,34
0.06,34
0.06,34
0.06,33
0.07,33
0.07,34
0.07,34
0.07,34
0.07,33
0.07,33
0.07,33
0.08,33
0.08,34
0.08,35
0.08,34
0.08,34
0.08,35
0.09,35
0.09,35
0.09,35
0.09,35
0.09,34
0.09,34
0.1,34
0.1,35
0.1,34
0.1,34
0.1,34
0.1,34
0.1,35
0.11,35
0.11,35
0.11,34
0.11,34
0.11,33
0.11,33
0.11,32
0.12,32
0.12,31
0.12,31
0.12,30
0.12,30
0.12,29
0.12,29
0.13,29
0.13,29
0.13,29
0.13,28
0.13,29
0.13,32
0.14,34
0.14,34
0.14,35
0.14,38
0.14,37
0.14,37
0.14,36
0.15,36
0.15,35
0.15,35
0.15,35
0.15,34
0.15,34
0.16,33
0.16,34
0.16,33
0.16,33
0.16,33
0.16,33
0.17,32
0.17,32
0.17,33
0.17,34
0.17,34
0.17,34
0.17,33
0.18,33
0.18,32
0.18,33
0.18,32
0.18,32
0.18,33
0.19,32
0.19,32
0.19,32
0.19,32
0.19,31
0.19,31
0.19,32
0.2,32
0.2,32
0.2,32
0.2,32
0.2,32
0.2,31
0.2,33
0.21,32
0.21,32
0.21,32
0.21,34
0.21,36
0.22,36
0.22,35
0.22,36
0.22,35
0.22,36
0.22,36
0.22,36
0.22,36
0.23,35
0.23,37
0.23,38
0.23,37
0.23,39
0.23,39
0.24,41
0.24,43
0.24,44
0.24,45
0.24,44
0.24,44
0.25,44
0.25,43
0.25,42
0.25,45
0.25,49
0.25,52
0.25,51
0.26,51
0.26,50
0.26,49
0.26,50
0.26,52
0.26,54
0.26,55
0.27,53
0.27,53
0.27,53
0.27,54
0.27,53
0.27,56
0.28,57
0.28,56
0.28,60
0.28,64
0.28,64
0.28,62
0.28,62
0.29,63
0.29,63
0.29,61
0.29,60
0.29,58
0.29,57
0.3,56
0.3,55
0.3,54
0.3,54
0.3,54
0.3,54
0.31,53
0.31,52
0.31,51
0.31,49
0.31,50
0.31,50
0.31,50
0.32,49
0.32,48
0.32,49
0.32,50
0.32,49
0.32,48
0.32,47
0.33,47
0.33,47
0.33,47
0.33,46
0.33,45
0.33,44
0.34,43
0.34,43
0.34,44
0.34,44
0.34,43
0.34,42
0.35,42
0.35,43
0.35,42
0.35,41
0.35,40
0.35,39
0.35,38
0.36,37
0.36,37
0.36,36
0.36,35
0.36,34
0.36,34
0.37,33
0.37,36
0.37,38
0.37,38
0.37,37
0.37,38
0.37,38
0.38,38
0.38,37
0.38,38
0.38,38
0.38,37
0.38,38
0.39,38
0.39,39
0.39,39
0.39,38
0.39,37
0.39,36
0.4,36
0.4,37
0.4,36
0.4,35
0.4,36
0.4,35
0.4,36
0.41,36
0.41,35
0.41,35
0.41,34
0.41,34
0.41,35
0.41,35
0.42,35
0.42,35
0.42,34
0.42,34
0.42,34
0.42,35
0.43,34
0.43,35
0.43,37
0.43,38
0.43,38
0.43,38
0.44,38
0.44,39
0.44,40
0.44,40
0.44,39
0.44,38
0.44,37
0.45,37
0.45,37
0.45,37
0.45,36
0.45,36
0.45,36
0.45,35
0.46,37
0.46,36
0.46,35
0.46,35
0.46,34
0.46,33
0.46,34
0.47,36
0.47,36
0.47,36
0.47,35
0.47,35
0.47,34
0.48,33
0.48,33
0.48,33
0.48,32
0.48,32
0.48,31
0.49,31
0.49,31
0.49,31
0.49,31
0.49,31
0.49,31
0.5,32
0.5,34
0.5,33
0.5,33
0.5,34
0.5,34
0.5,34
0.51,34
0.51,33
0.51,33
0.51,32
0.51,33
0.51,33
0.52,32
0.52,33
0.52,34
0.52,34
0.52,34
0.52,34
0.52,34
0.53,33
0.53,33
0.53,35
0.53,37
0.53,37
0.53,36
0.54,36
0.54,36
0.54,37
0.54,36
0.54,35
0.54,35
0.54,35
0.55,34
0.55,34
0.55,35
0.55,35
0.55,34
0.55,33
0.56,33
0.56,32
0.56,32
0.56,32
0.56,31
0.56,31
0.56,31
0.57,31
0.57,32
0.57,31
0.57,31
0.57,31
0.57,31
0.57,30
0.58,30
0.58,32
0.58,33
0.58,33
0.58,33
0.58,34
0.59,35
0.59,37
0.59,36
0.59,37
0.59,37
0.59,36
0.6,36
0.6,34
0.6,34
0.6,33
0.6,33
0.6,32
0.61,32
0.61,32
0.61,32
0.61,31
0.61,32
0.61,32
0.61,33
0.62,34
0.62,33
0.62,33
0.62,33
0.62,33
0.62,33
0.63,32
0.63,32
0.63,32
0.63,33
0.63,33
0.63,33
0.63,34
0.63,35
0.64,35
0.64,35
0.64,34
0.64,33
0.64,33
0.65,33
0.65,34
0.65,35
0.65,37
0.65,39
0.65,38
0.65,37
0.66,36
0.66,37
0.66,36
0.66,36
0.66,36
0.66,37
0.67,37
0.67,36
0.67,37
0.67,38
0.67,40
0.67,39
0.67,39
0.68,39
0.68,38
0.68,38
0.68,38
0.68,38
0.68,38
0.69,39
0.69,41
0.69,41
0.69,41
0.69,44
0.69,46
0.69,45
0.7,45
0.7,44
0.7,43
0.7,42
0.7,41
0.7,41
0.7,41
0.71,40
0.71,40
0.71,40
0.71,39
0.71,40
0.71,39
0.71,40
0.72,43
0.72,44
0.72,42
0.72,42
0.72,42
0.72,42
0.73,42
0.73,41
0.73,40
0.73,39
0.73,40
0.74,41
0.74,41
0.74,41
0.74,40
0.74,40
0.74,39
0.74,39
0.75,39
0.75,39
0.75,38
0.75,38
0.75,39
0.75,39
0.75,38
0.76,37
0.76,37
0.76,36
0.76,36
0.76,35
0.76,36
0.76,35
0.77,35
0.77,36
0.77,36
0.77,37
0.77,36
0.77,35
0.78,35
0.78,35
0.78,34
0.78,35
0.78,37
0.78,37
0.79,38
0.79,41
0.79,43
0.79,44
0.79,44
0.79,43
0.79,42
0.8,41
0.8,40
0.8,40
0.8,40
0.8,40
0.8,39
0.81,39
0.81,38
0.81,38
0.81,37
0.81,37
0.81,39
0.81,39
0.82,38
0.82,38
0.82,37
0.82,37
0.82,37
0.82,37
0.83,36
0.83,35
0.83,35
0.83,35
0.83,35
0.83,34
0.83,35
0.84,34
0.84,35
0.84,34
0.84,34
0.84,33
0.84,33
0.85,33
0.85,33
0.85,32
0.85,32
0.85,33
0.85,33
0.86,33
0.86,33
0.86,32
0.86,32
0.86,31
0.86,32
0.86,33
0.87,32
0.87,32
0.87,34
0.87,35
0.87,38
0.87,42
0.88,42
0.88,46
0.88,54
0.88,63
0.88,68
0.88,67
0.88,67
0.88,68
0.89,68
0.89,70
0.89,69
0.89,68
0.89,66
0.89,64
0.9,64
0.9,63
0.9,62
0.9,60
0.9,60
0.9,62
0.91,62
0.91,60
0.91,58
0.91,57
0.91,57
0.91,57
0.91,56
0.92,55
0.92,55
0.92,57
0.92,57
0.92,56
0.92,55
0.93,54
0.93,54
0.93,57
0.93,59
0.93,58
0.93,59
0.93,63
0.94,69
0.94,72
0.94,72
0.94,75
0.94,79
0.95,80
0.95,82
0.95,81
0.95,82
0.95,85
0.95,84
0.95,82
0.95,79
0.96,77
0.96,75
0.96,74
0.96,72
0.96,71
0.96,69
0.97,67
0.97,65
0.97,64
0.97,62
0.97,61
0.97,61
0.98,60
0.98,59
0.98,58
0.98,57
0.98,56
0.98,56
0.98,60
0.99,61
0.99,60
0.99,58
0.99,58
0.99,57
0.99,56
1.0,55
1.0,54
1.0,54
1.0,55
1.0,55
1.0,55
1.0,54
1.01,60
1.01,74
1.01,80
1.01,81
1.01,91
1.01,104
1.01,108
1.02,106
1.02,105
1.02,104
1.02,105
1.02,103
1.02,102
1.03,102
1.03,102
1.03,101
1.03,98
1.03,96
1.03,94
1.04,92
1.04,89
1.04,90
1.04,96
1.04,96
1.04,97
1.04,103
1.05,106
1.05,103
1.05,105
1.05,108
1.05,113
1.05,117
1.06,115
1.06,114
1.06,112
1.06,109
1.06,108
1.06,108
1.07,116
1.07,117
1.07,123
1.07,136
1.07,141
1.07,140
1.08,147
1.08,153
1.08,151
1.08,153
1.08,156
1.08,156
1.09,152
1.09,147
1.09,145
1.09,144
1.09,145
1.09,147
1.09,145
1.1,143
1.1,140
1.1,137
1.1,142
1.1,144
1.1,143
1.11,141
1.11,145
1.11,146
1.11,142
1.11,138
1.11,136
1.12,133
1.12,129
1.12,128
1.12,128
1.12,127
1.12,124
1.12,121
1.13,119
1.13,119
1.13,118
1.13,116
1.13,117
1.13,122
1.14,125
1.14,124
1.14,123
1.14,119
1.14,116
1.14,113
1.14,111
1.15,110
1.15,107
1.15,104
1.15,101
1.15,99
1.16,98
1.16,96
1.16,93
1.16,90
1.16,87
1.16,87
1.16,84
1.17,82
1.17,82
1.17,82
1.17,83
1.17,91
1.17,100
1.17,102
1.18,102
1.18,101
1.18,100
1.18,105
1.18,113
1.18,117
1.19,117
1.19,115
1.19,112
1.19,110
1.19,109
1.2,107
1.2,105
1.2,102
1.2,99
1.2,97
1.2,94
1.2,92
1.21,89
1.21,87
1.21,85
1.21,84
1.21,82
1.21,82
1.22,81
1.22,79
1.22,77
1.22,76
1.22,76
1.22,75
1.22,73
1.23,70
1.23,69
1.23,71
1.23,73
1.23,73
1.23,73
1.23,72
1.24,72
1.24,72
1.24,70
1.24,69
1.24,70
1.25,71
1.25,71
1.25,71
1.25,70
1.25,69
1.25,70
1.25,77
1.25,81
1.26,83
1.26,81
1.26,83
1.26,84
1.26,83
1.26,83
1.27,83
1.27,81
1.27,80
1.27,78
1.27,79
1.27,78
1.27,77
1.28,75
1.28,74
1.28,72
1.28,72
1.28,79
1.28,86
