Time_s,ADC
0.0,16
0.0,15
0.0,16
0.0,15
0.01,15
0.01,16
0.01,16
0.01,15
0.01,15
0.01,15
0.01,15
0.02,15
0.02,15
0.02,15
0.02,15
0.02,16
0.02,16
0.03,16
0.03,16
0.03,16
0.03,15
0.03,16
0.03,16
0.03,15
0.04,15
0.04,15
0.04,15
0.04,15
0.04,15
0.04,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.05,15
0.06,15
0.06,15
0.06,15
0.06,15
0.06,15
0.06,15
0.07,15
0.07,15
0.07,15
0.07,15
0.07,15
0.07,15
0.07,15
0.08,15
0.08,15
0.08,15
0.08,15
0.08,15
0.08,15
0.09,15
0.09,15
0.09,15
0.09,15
0.09,15
0.09,15
0.1,15
0.1,15
0.1,15
0.1,15
0.1,15
0.1,15
0.1,15
0.11,15
0.11,15
0.11,15
0.11,15
0.11,15
0.11,15
0.11,15
0.12,15
0.12,15
0.12,15
0.12,15
0.12,15
0.12,15
0.12,15
0.13,15
0.13,15
0.13,15
0.13,15
0.13,15
0.13,15
0.14,15
0.14,15
0.14,15
0.14,15
0.14,15
0.14,15
0.14,15
0.15,15
0.15,15
0.15,15
0.15,15
0.15,15
0.15,15
0.16,15
0.16,15
0.16,15
0.16,15
0.16,15
0.16,15
0.17,15
0.17,15
0.17,15
0.17,15
0.17,15
0.17,15
0.17,15
0.18,15
0.18,15
0.18,15
0.18,15
0.18,15
0.18,15
0.19,15
0.19,15
0.19,15
0.19,15
0.19,15
0.19,15
0.19,15
0.2,15
0.2,15
0.2,15
0.2,15
0.2,15
0.2,15
0.2,15
0.21,15
0.21,15
0.21,15
0.21,15
0.21,15
0.22,15
0.22,15
0.22,15
0.22,15
0.22,15
0.22,15
0.22,15
0.22,15
0.23,15
0.23,15
0.23,15
0.23,15
0.23,15
0.23,15
0.24,15
0.24,15
0.24,15
0.24,15
0.24,15
0.24,15
0.25,15
0.25,15
0.25,15
0.25,14
0.25,15
0.25,15
0.25,15
0.26,15
0.26,15
0.26,15
0.26,15
0.26,15
0.26,15
0.26,15
0.27,15
0.27,15
0.27,15
0.27,15
0.27,15
0.27,15
0.28,15
0.28,15
0.28,15
0.28,15
0.28,15
0.28,15
0.28,15
0.29,15
0.29,15
0.29,15
0.29,15
0.29,15
0.29,15
0.3,15
0.3,15
0.3,15
0.3,15
0.3,15
0.3,15
0.31,15
0.31,15
0.31,15
0.31,15
0.31,15
0.31,15
0.31,15
0.32,15
0.32,15
0.32,15
0.32,15
0.32,15
0.32,15
0.32,15
0.33,15
0.33,15
0.33,15
0.33,15
0.33,15
0.33,15
0.34,15
0.34,15
0.34,15
0.34,16
0.34,16
0.34,16
0.35,16
0.35,15
0.35,15
0.35,15
0.35,15
0.35,15
0.35,15
0.36,15
0.36,15
0.36,15
0.36,15
0.36,15
0.36,16
0.37,15
0.37,15
0.37,15
0.37,15
0.37,15
0.37,15
0.37,16
0.38,16
0.38,16
0.38,15
0.38,16
0.38,15
0.38,15
0.39,15
0.39,15
0.39,15
0.39,15
0.39,15
0.39,15
0.4,15
0.4,15
0.4,15
0.4,15
0.4,15
0.4,15
0.4,15
0.41,15
0.41,15
0.41,15
0.41,15
0.41,15
0.41,15
0.41,15
0.42,15
0.42,15
0.42,15
0.42,15
0.42,15
0.42,15
0.43,15
0.43,15
