Time_s,ADC
0.0,27
0.0,28
0.0,28
0.0,29
0.01,28
0.01,28
0.01,28
0.01,28
0.01,28
0.01,28
0.01,28
0.02,28
0.02,30
0.02,31
0.02,31
0.02,30
0.02,30
0.03,29
0.03,29
0.03,29
0.03,29
0.03,28
0.03,28
0.03,29
0.04,30
0.04,30
0.04,29
0.04,29
0.04,28
0.04,28
0.05,27
0.05,27
0.05,27
0.05,27
0.05,28
0.05,28
0.05,28
0.06,27
0.06,27
0.06,27
0.06,26
0.06,26
0.06,26
0.07,26
0.07,26
0.07,27
0.07,28
0.07,27
0.07,27
0.07,26
0.08,27
0.08,26
0.08,26
0.08,26
0.08,26
0.08,27
0.09,28
0.09,28
0.09,28
0.09,28
0.09,28
0.09,28
0.1,28
0.1,27
0.1,28
0.1,27
0.1,28
0.1,28
0.1,29
0.11,28
0.11,27
0.11,27
0.11,27
0.11,27
0.11,27
0.11,26
0.12,26
0.12,28
0.12,29
0.12,29
0.12,29
0.12,28
0.12,28
0.13,28
0.13,27
0.13,28
0.13,27
0.13,27
0.13,28
0.14,28
0.14,28
0.14,28
0.14,27
0.14,27
0.14,27
0.14,26
0.15,27
0.15,26
0.15,26
0.15,28
0.15,29
0.15,29
0.16,28
0.16,28
0.16,28
0.16,27
0.16,27
0.16,27
0.17,26
0.17,26
0.17,27
0.17,27
0.17,27
0.17,27
0.17,26
0.18,27
0.18,27
0.18,26
0.18,26
0.18,25
0.18,27
0.19,28
0.19,28
0.19,28
0.19,28
0.19,28
0.19,27
0.19,27
0.2,27
0.2,26
0.2,26
0.2,27
0.2,28
0.2,28
0.2,28
0.21,27
0.21,27
0.21,27
0.21,27
0.21,27
0.22,26
0.22,26
0.22,27
0.22,27
0.22,28
0.22,28
0.22,27
0.22,27
0.23,26
0.23,26
0.23,26
0.23,26
0.23,25
0.23,26
0.24,26
0.24,27
0.24,26
0.24,26
0.24,26
0.24,25
0.25,25
0.25,25
0.25,25
0.25,25
0.25,27
0.25,28
0.25,28
0.26,27
0.26,27
0.26,26
0.26,26
0.26,26
0.26,27
0.26,26
0.27,26
0.27,27
0.27,27
0.27,28
0.27,27
0.27,27
0.28,27
0.28,27
0.28,27
0.28,26
0.28,26
0.28,27
0.28,27
0.29,28
0.29,28
0.29,28
0.29,27
0.29,27
0.29,27
0.3,27
0.3,27
0.3,27
0.3,28
0.3,29
0.3,30
0.31,30
0.31,29
0.31,29
0.31,29
0.31,28
0.31,29
0.31,29
0.32,28
0.32,29
0.32,30
0.32,29
0.32,29
0.32,29
0.32,29
0.33,30
0.33,29
0.33,29
0.33,29
0.33,29
0.33,30
0.34,30
0.34,30
0.34,30
0.34,29
0.34,29
0.34,28
0.35,28
0.35,28
0.35,27
0.35,27
0.35,29
0.35,29
0.35,29
0.36,29
0.36,28
0.36,28
0.36,28
0.36,28
0.36,28
0.37,28
0.37,29
0.37,29
0.37,30
0.37,29
0.37,29
0.37,29
0.38,29
0.38,29
0.38,28
0.38,28
0.38,28
0.38,29
0.39,30
0.39,30
0.39,30
0.39,29
0.39,29
0.39,29
0.4,28
0.4,28
0.4,28
0.4,27
0.4,28
0.4,29
0.4,29
0.41,28
0.41,28
0.41,28
0.41,28
0.41,27
0.41,27
0.41,27
0.42,27
0.42,28
0.42,28
0.42,28
0.42,27
0.42,27
0.43,27
0.43,26
0.43,26
0.43,26
0.43,25
0.43,26
0.44,27
0.44,28
0.44,27
0.44,28
0.44,27
0.44,27
0.44,27
0.45,27
0.45,27
0.45,27
0.45,27
0.45,29
0.45,29
0.45,28
0.46,28
0.46,29
0.46,29
0.46,29
0.46,29
0.46,29
0.46,28
0.47,29
0.47,30
0.47,30
0.47,29
0.47,29
0.47,28
0.48,28
0.48,28
0.48,28
0.48,28
0.48,28
0.48,29
0.49,30
0.49,30
0.49,29
0.49,29
0.49,29
0.49,29
0.5,28
0.5,28
0.5,28
0.5,28
0.5,28
0.5,29
0.5,28
0.51,28
0.51,28
0.51,27
0.51,28
0.51,27
0.51,27
0.52,26
0.52,26
0.52,28
0.52,29
0.52,28
0.52,28
0.52,29
0.53,29
0.53,28
0.53,28
0.53,28
0.53,28
0.53,29
0.54,30
0.54,30
0.54,29
0.54,29
0.54,28
0.54,28
0.54,28
0.55,27
0.55,27
0.55,26
0.55,28
0.55,29
0.55,30
0.56,30
0.56,29
0.56,29
0.56,29
0.56,28
0.56,28
0.56,28
0.57,27
0.57,28
0.57,28
0.57,28
0.57,28
0.57,27
0.57,27
0.58,27
0.58,27
0.58,27
0.58,27
0.58,26
0.58,28
0.59,29
0.59,29
0.59,28
0.59,28
0.59,27
0.59,27
0.6,27
0.6,27
0.6,26
0.6,26
0.6,27
0.6,27
0.61,27
0.61,27
0.61,26
0.61,25
0.61,26
0.61,26
0.61,26
0.61,26
0.62,26
0.62,27
0.62,27
0.62,27
0.62,27
0.63,26
0.63,26
0.63,26
0.63,26
0.63,26
0.63,25
0.63,26
0.63,27
0.64,27
0.64,27
0.64,27
0.64,26
0.64,26
0.65,26
0.65,26
0.65,26
0.65,25
0.65,26
0.65,27
0.65,27
0.66,27
0.66,27
0.66,27
0.66,27
0.66,27
0.66,26
0.67,26
0.67,26
0.67,27
0.67,28
0.67,27
0.67,27
0.67,27
0.68,26
0.68,26
0.68,26
0.68,26
0.68,25
0.68,25
0.69,26
0.69,26
0.69,26
0.69,26
0.69,26
0.69,25
0.69,25
0.7,25
0.7,26
0.7,25
0.7,26
0.7,27
0.7,27
0.7,27
0.71,27
0.71,27
0.71,27
0.71,27
0.71,27
0.71,27
0.71,26
0.72,26
0.72,27
0.72,27
0.72,27
0.72,26
0.72,26
0.73,26
0.73,26
0.73,26
0.73,26
0.73,25
0.74,26
0.74,26
0.74,26
0.74,26
0.74,26
0.74,26
0.74,26
0.75,25
0.75,25
0.75,25
0.75,25
0.75,26
0.75,27
0.75,27
0.76,27
0.76,26
0.76,26
0.76,26
0.76,26
0.76,25
0.76,25
0.77,25
0.77,26
0.77,26
0.77,26
0.77,26
0.77,25
0.78,25
0.78,25
0.78,25
0.78,25
0.78,24
0.78,24
0.79,25
0.79,26
0.79,25
0.79,25
0.79,25
0.79,25
0.79,25
0.8,25
0.8,24
0.8,24
0.8,25
0.8,26
0.8,26
0.81,26
0.81,26
0.81,25
0.81,26
0.81,25
0.81,26
0.81,26
0.82,26
0.82,26
0.82,27
0.82,27
0.82,27
0.82,26
0.83,26
0.83,26
0.83,26
0.83,26
0.83,26
0.83,25
0.83,26
0.84,26
0.84,26
0.84,26
0.84,26
0.84,25
0.84,26
0.85,25
0.85,26
0.85,25
0.85,25
0.85,26
0.85,27
0.86,27
0.86,27
0.86,26
0.86,26
0.86,26
0.86,25
0.86,25
0.87,25
0.87,25
0.87,26
0.87,26
0.87,25
0.87,25
0.88,25
0.88,25
0.88,25
0.88,25
0.88,24
0.88,25
0.88,25
0.88,26
0.89,26
0.89,26
0.89,26
0.89,25
0.89,25
0.89,26
0.9,26
0.9,25
0.9,25
0.9,26
0.9,26
0.9,26
0.91,26
0.91,26
0.91,26
0.91,26
0.91,26
0.91,26
0.91,25
0.92,25
0.92,26
0.92,27
0.92,27
0.92,27
0.92,27
0.93,26
0.93,27
0.93,27
0.93,26
0.93,26
0.93,26
0.93,26
0.94,27
0.94,27
0.94,27
0.94,26
0.94,26
0.94,26
0.95,26
0.95,26
0.95,26
0.95,25
0.95,27
0.95,27
0.95,26
0.96,26
0.96,26
0.96,26
0.96,26
0.96,25
0.96,25
0.97,25
0.97,25
0.97,26
0.97,27
0.97,27
0.97,27
0.98,26
0.98,27
0.98,27
0.98,27
0.98,27
0.98,27
0.98,27
0.99,28
0.99,28
0.99,28
0.99,27
0.99,27
0.99,27
1.0,27
1.0,27
1.0,27
1.0,26
1.0,26
1.0,27
1.0,28
1.01,27
1.01,27
1.01,27
1.01,27
1.01,26
1.01,27
1.01,26
1.02,26
1.02,27
1.02,27
1.02,27
1.02,26
1.02,27
1.03,27
1.03,26
1.03,26
1.03,26
1.03,26
1.03,25
1.03,27
1.04,27
1.04,27
1.04,26
1.04,27
1.04,27
1.04,27
1.05,27
1.05,27
1.05,26
1.05,26
1.05,27
1.05,28
1.05,28
1.06,27
1.06,27
1.06,28
1.06,28
1.06,28
1.06,28
1.07,27
1.07,27
1.07,27
1.07,28
1.07,28
1.07,29
1.08,28
1.08,28
1.08,27
1.08,28
1.08,28
1.08,28
1.08,28
1.09,28
1.09,29
1.09,33
1.09,38
1.09,41
1.09,43
1.1,43
1.1,42
1.1,44
1.1,48
1.1,56
1.1,65
1.1,73
1.11,77
1.11,77
1.11,75
1.11,74
1.11,72
1.11,71
1.12,70
1.12,68
1.12,66
1.12,65
1.12,63
1.12,61
1.12,61
1.13,60
1.13,60
1.13,58
1.13,57
1.13,57
1.13,56
1.13,55
1.14,54
1.14,52
1.14,51
1.14,49
1.14,49
1.14,47
1.15,46
1.15,46
1.15,45
1.15,44
1.15,43
1.15,43
1.16,42
1.16,42
1.16,41
1.16,42
1.16,42
1.16,42
1.16,40
1.17,40
1.17,40
1.17,41
1.17,40
1.17,39
1.17,39
1.18,39
1.18,39
1.18,39
1.18,38
1.18,38
1.18,37
1.18,38
1.19,40
1.19,40
1.19,40
1.19,40
1.19,39
1.2,38
1.2,38
1.2,42
1.2,47
1.2,47
1.2,50
1.2,52
1.21,52
1.21,52
1.21,52
1.21,52
1.21,50
1.21,50
1.21,48
1.22,48
1.22,47
1.22,48
1.22,47
1.22,47
1.22,48
1.23,50
1.23,52
1.23,54
1.23,58
1.23,61
1.23,61
1.23,59
1.24,60
1.24,64
1.24,69
1.24,72
1.24,71
1.24,72
1.25,73
1.25,74
1.25,74
1.25,73
1.25,73
1.25,71
1.25,71
1.26,72
1.26,72
1.26,70
1.26,69
1.26,68
1.26,69
1.26,66
1.27,65
1.27,64
1.27,64
1.27,63
1.27,67
1.27,70
1.28,78
1.28,87
1.28,95
1.28,131
1.28,169
1.28,177
1.29,177
1.29,182
1.29,185
1.29,190
1.29,190
1.29,189
1.3,191
1.3,193
1.3,195
1.3,192
1.3,189
1.3,190
1.3,190
1.31,187
1.31,180
1.31,174
1.31,171
1.31,168
1.31,166
1.32,162
1.32,158
1.32,157
1.32,153
1.32,149
1.33,149
1.33,147
1.33,147
1.33,146
1.33,142
1.33,142
1.33,145
1.34,149
1.34,153
1.34,152
1.34,148
1.34,144
1.34,144
1.35,158
1.35,167
1.35,172
1.35,195
1.35,203
1.35,199
1.35,198
1.36,193
1.36,187
1.36,183
1.36,178
1.36,172
1.36,167
1.37,165
1.37,167
1.37,168
1.37,164
1.37,164
1.37,165
1.38,160
1.38,157
1.38,153
1.38,148
1.38,149
1.38,150
1.38,146
1.39,143
1.39,141
1.39,148
1.39,158
1.39,166
1.39,164
1.4,164
1.4,169
1.4,173
1.4,175
1.4,175
1.4,174
1.4,174
1.41,171
1.41,173
1.41,172
1.41,177
1.41,179
1.42,182
1.42,195
1.42,200
1.42,196
1.42,190
1.42,185
1.42,179
1.43,174
1.43,171
1.43,171
1.43,171
1.43,168
1.43,166
1.44,167
1.44,163
1.44,160
1.44,161
1.44,162
1.44,160
1.45,156
1.45,151
1.45,146
1.45,142
1.45,138
1.45,134
1.46,132
1.46,134
1.46,133
1.46,134
1.46,137
1.46,139
1.47,137
1.47,137
1.47,144
1.47,153
1.47,157
1.47,157
1.48,152
1.48,151
1.48,150
1.48,158
1.48,169
1.48,186
1.48,199
1.49,197
1.49,197
1.49,201
1.49,207
1.49,218
1.49,228
1.5,233
1.5,230
1.5,231
1.5,238
1.5,240
1.5,236
1.5,237
1.51,235
1.51,229
1.51,223
1.51,218
1.51,212
1.51,205
1.52,198
1.52,193
1.52,190
1.52,184
1.52,184
1.52,182
1.53,180
1.53,179
1.53,175
1.53,175
1.53,175
1.53,176
1.54,176
1.54,173
1.54,168
1.54,170
1.54,170
1.54,168
1.54,173
1.55,175
1.55,174
1.55,169
1.55,165
1.55,165
1.55,169
1.56,176
1.56,182
1.56,187
1.56,193
1.56,192
1.56,190
1.57,191
1.57,189
1.57,187
1.57,188
1.57,189
1.57,188
1.58,182
1.58,177
1.58,175
1.58,174
1.58,175
1.58,178
1.59,182
1.59,179
1.59,174
1.59,176
1.59,173
1.59,179
1.6,183
1.6,180
1.6,178
1.6,177
1.6,176
1.6,172
1.6,167
1.61,165
1.61,160
1.61,155
1.61,154
1.61,154
1.61,153
1.61,151
1.62,147
1.62,144
1.62,145
1.62,147
1.62,147
1.63,143
1.63,140
1.63,144
1.63,144
1.63,149
1.63,156
1.63,154
1.64,149
1.64,145
1.64,147
1.64,152
1.64,155
1.64,163
1.65,169
1.65,165
1.65,162
1.65,163
1.65,166
1.65,165
1.65,161
1.66,156
1.66,152
1.66,149
1.66,146
1.66,148
1.66,152
1.67,154
1.67,155
1.67,153
1.67,149
1.67,149
1.67,153
1.68,153
1.68,149
1.68,150
1.68,160
1.68,164
1.68,160
1.69,154
1.69,150
1.69,150
1.69,156
1.69,164
1.69,170
1.7,169
1.7,164
1.7,161
1.7,164
1.7,166
1.7,165
1.71,164
1.71,162
1.71,159
1.71,156
1.71,156
1.71,165
1.72,175
1.72,176
1.72,173
1.72,168
1.72,163
1.72,159
1.72,155
1.73,153
1.73,156
1.73,158
1.73,155
1.73,155
1.73,158
1.74,159
1.74,156
1.74,153
1.74,152
1.74,150
1.74,157
1.75,168
1.75,172
1.75,170
1.75,176
1.75,179
1.75,177
1.75,177
1.76,180
1.76,181
1.76,176
1.76,172
1.76,168
1.76,163
1.77,163
1.77,163
1.77,160
1.77,157
1.77,152
1.77,148
1.77,147
1.78,142
1.78,147
1.78,158
1.78,167
1.78,173
1.78,179
1.79,192
1.79,201
1.79,199
1.79,196
1.79,202
1.79,210
1.8,217
1.8,220
1.8,225
1.8,232
1.8,234
1.8,231
1.81,227
1.81,222
1.81,215
1.81,211
1.81,208
1.81,207
1.82,207
1.82,204
1.82,197
1.82,191
1.82,188
1.82,188
1.83,185
1.83,190
1.83,194
1.83,195
1.83,190
1.83,187
1.84,183
1.84,185
1.84,186
1.84,180
1.84,176
1.84,180
1.84,179
1.85,183
1.85,192
1.85,194
1.85,188
1.85,183
1.85,186
1.86,186
1.86,181
1.86,181
1.86,179
1.86,177
1.86,172
1.86,172
1.87,169
1.87,167
1.87,163
1.87,165
1.87,169
1.87,171
1.88,170
1.88,171
1.88,168
1.88,163
1.88,161
1.88,159
1.89,154
1.89,152
1.89,152
1.89,150
1.89,145
1.89,141
1.9,138
1.9,151
1.9,166
1.9,171
1.9,169
1.9,166
1.9,162
1.91,158
1.91,157
1.91,154
1.91,154
1.91,153
1.91,152
1.92,158
1.92,166
1.92,164
1.92,164
1.92,162
1.92,165
1.93,174
1.93,180
1.93,185
1.93,186
1.93,184
1.93,186
1.93,186
1.94,183
1.94,191
1.94,200
1.94,200
1.94,196
1.95,200
1.95,202
1.95,208
1.95,217
1.95,220
1.95,219
1.95,214
1.96,209
1.96,208
1.96,204
1.96,200
1.96,194
1.97,190
1.97,188
1.97,197
1.97,202
1.97,198
1.97,192
1.97,189
1.98,187
1.98,185
1.98,182
1.98,186
1.98,186
1.98,182
1.98,177
1.99,172
1.99,171
1.99,175
1.99,178
1.99,181
1.99,187
2.0,190
2.0,188
2.0,195
2.0,217
2.0,238
2.0,247
2.01,246
2.01,241
2.01,252
2.01,259
2.01,258
2.01,254
2.02,247
2.02,239
2.02,234
2.02,231
2.02,228
2.02,227
2.03,224
2.03,223
2.03,227
2.03,236
2.03,244
2.03,241
2.03,237
2.04,232
2.04,229
2.04,233
2.04,238
2.04,239
2.04,243
2.05,245
2.05,259
2.05,265
2.05,263
2.05,260
2.05,265
2.06,270
2.06,268
2.06,261
2.06,255
2.06,256
2.06,259
2.07,261
2.07,258
2.07,253
2.07,251
2.07,255
2.07,261
2.07,256
2.08,257
2.08,263
2.08,268
2.08,267
2.08,262
2.08,256
2.09,250
2.09,244
2.09,253
2.09,262
2.09,261
2.09,257
2.1,249
2.1,244
2.1,247
2.1,258
2.1,264
2.1,258
2.11,257
2.11,255
2.11,254
