Time_s,ADC
0.0,62
0.0,63
0.0,61
0.0,63
0.01,68
0.01,71
0.01,70
0.01,70
0.01,73
0.01,76
0.01,76
0.02,74
0.02,73
0.02,72
0.02,71
0.02,69
0.02,67
0.03,66
0.03,65
0.03,64
0.03,64
0.03,63
0.03,62
0.03,60
0.04,59
0.04,58
0.04,56
0.04,55
0.04,55
0.04,55
0.05,55
0.05,54
0.05,53
0.05,52
0.05,51
0.05,51
0.05,50
0.06,51
0.06,56
0.06,61
0.06,61
0.06,59
0.06,62
0.07,66
0.07,70
0.07,72
0.07,71
0.07,70
0.07,70
0.07,73
0.08,73
0.08,72
0.08,70
0.08,70
0.08,70
0.08,70
0.09,69
0.09,68
0.09,67
0.09,68
0.09,67
0.09,65
0.1,63
0.1,62
0.1,60
0.1,60
0.1,60
0.1,60
0.1,60
0.11,59
0.11,59
0.11,58
0.11,58
0.11,57
0.11,55
0.11,56
0.12,57
0.12,56
0.12,59
0.12,60
0.12,61
0.12,61
0.12,60
0.13,59
0.13,58
0.13,59
0.13,60
0.13,60
0.13,60
0.14,60
0.14,60
0.14,59
0.14,58
0.14,57
0.14,55
0.14,57
0.15,58
0.15,57
0.15,57
0.15,61
0.15,64
0.15,64
0.16,64
0.16,67
0.16,68
0.16,66
0.16,64
0.16,64
0.17,63
0.17,61
0.17,60
0.17,58
0.17,57
0.17,56
0.17,56
0.18,55
0.18,54
0.18,52
0.18,52
0.18,52
0.18,52
0.19,51
0.19,49
0.19,48
0.19,47
0.19,46
0.19,45
0.19,45
0.2,46
0.2,45
0.2,45
0.2,45
0.2,44
0.2,43
0.2,42
0.21,43
0.21,43
0.21,42
0.21,41
0.21,41
0.22,40
0.22,40
0.22,41
0.22,42
0.22,42
0.22,41
0.22,40
0.22,39
0.23,39
0.23,41
0.23,42
0.23,42
0.23,41
0.23,40
0.24,39
0.24,38
0.24,38
0.24,38
0.24,37
0.24,38
0.25,42
0.25,45
0.25,46
0.25,45
0.25,44
0.25,43
0.25,42
0.26,43
0.26,43
0.26,42
0.26,44
0.26,47
0.26,50
0.26,52
0.27,53
