Time_s,ADC
0.0,23
0.0,23
0.0,23
0.0,23
0.01,22
0.01,23
0.01,23
0.01,24
0.01,24
0.01,24
0.01,23
0.02,23
0.02,23
0.02,22
0.02,22
0.02,22
0.02,22
0.03,21
0.03,21
0.03,21
0.03,21
0.03,21
0.03,21
0.03,21
0.04,21
0.04,21
0.04,21
0.04,23
0.04,24
0.04,24
0.05,25
0.05,27
0.05,27
0.05,27
0.05,27
0.05,28
0.05,27
0.06,27
0.06,27
0.06,26
0.06,27
0.06,27
0.06,28
0.07,28
0.07,27
0.07,28
0.07,28
0.07,27
0.07,27
0.07,26
0.08,26
0.08,26
0.08,28
0.08,28
0.08,28
0.08,27
0.09,28
0.09,28
0.09,28
0.09,27
0.09,27
0.09,27
0.1,26
0.1,26
0.1,26
0.1,26
0.1,26
0.1,25
0.1,25
0.11,25
0.11,24
0.11,24
0.11,24
0.11,25
0.11,25
0.11,24
0.12,24
0.12,24
0.12,23
0.12,23
0.12,23
0.12,23
0.12,22
0.13,22
0.13,22
0.13,23
0.13,24
0.13,24
0.13,24
0.14,24
0.14,25
0.14,27
0.14,26
0.14,27
0.14,26
0.14,26
0.15,26
0.15,27
0.15,28
0.15,28
0.15,29
0.15,28
0.16,27
0.16,28
0.16,28
0.16,28
0.16,28
0.16,27
0.17,26
0.17,26
0.17,26
0.17,27
0.17,27
0.17,27
0.17,29
0.18,30
0.18,30
0.18,30
0.18,29
0.18,29
0.18,29
0.19,30
0.19,30
0.19,29
0.19,29
0.19,29
0.19,29
0.19,28
0.2,28
0.2,28
0.2,27
0.2,26
0.2,26
0.2,26
0.2,25
0.21,25
0.21,24
0.21,24
0.21,24
0.21,23
0.22,24
0.22,25
0.22,25
0.22,24
0.22,24
0.22,24
0.22,24
0.22,24
0.23,23
0.23,23
0.23,23
0.23,22
0.23,22
0.23,22
0.24,22
0.24,22
0.24,21
0.24,21
0.24,21
0.24,21
0.25,20
0.25,21
0.25,21
0.25,21
0.25,21
0.25,23
0.25,26
0.26,27
0.26,27
0.26,26
0.26,28
0.26,29
0.26,29
0.26,29
0.27,29
0.27,28
0.27,28
0.27,28
0.27,28
0.27,27
0.28,30
0.28,32
0.28,32
0.28,32
0.28,32
0.28,31
0.28,31
0.29,29
0.29,29
0.29,29
0.29,29
0.29,28
0.29,28
0.3,28
0.3,28
0.3,28
0.3,28
0.3,27
0.3,26
0.31,26
0.31,26
0.31,25
0.31,26
0.31,26
0.31,25
0.31,25
0.32,25
0.32,25
0.32,24
0.32,24
0.32,24
0.32,25
0.32,25
0.33,26
0.33,26
0.33,26
0.33,27
0.33,27
0.33,27
0.34,27
0.34,27
0.34,27
0.34,27
0.34,27
0.34,26
0.35,26
0.35,26
0.35,26
0.35,26
0.35,25
0.35,25
0.35,25
0.36,25
0.36,25
0.36,24
0.36,24
0.36,24
0.36,23
0.37,24
0.37,25
0.37,26
0.37,26
0.37,27
0.37,29
0.37,30
0.38,30
0.38,30
0.38,31
0.38,30
0.38,29
0.38,29
0.39,29
0.39,29
0.39,29
0.39,29
0.39,29
0.39,29
0.4,30
0.4,30
0.4,29
0.4,29
0.4,28
0.4,29
0.4,30
0.41,30
0.41,30
0.41,29
0.41,29
0.41,29
0.41,28
0.41,28
0.42,31
0.42,33
0.42,33
0.42,34
0.42,37
0.42,39
0.43,38
0.43,38
0.43,37
0.43,38
0.43,39
0.43,39
0.44,38
0.44,39
0.44,41
0.44,41
0.44,41
0.44,39
0.44,40
0.45,40
0.45,40
0.45,39
0.45,38
0.45,37
0.45,37
0.45,36
0.46,35
0.46,34
0.46,35
0.46,36
0.46,37
0.46,37
0.46,36
0.47,35
0.47,35
0.47,34
0.47,33
0.47,33
0.47,32
0.48,34
0.48,36
0.48,36
0.48,37
0.48,37
0.48,37
0.49,35
0.49,35
0.49,34
0.49,34
0.49,33
0.49,32
0.5,32
0.5,31
0.5,31
0.5,31
0.5,31
0.5,31
0.5,30
0.51,30
0.51,31
0.51,31
0.51,32
0.51,32
0.51,32
0.52,32
0.52,32
0.52,33
0.52,34
0.52,33
0.52,33
0.52,32
0.53,31
0.53,31
0.53,31
0.53,30
0.53,30
0.53,30
0.54,29
0.54,29
0.54,28
0.54,28
0.54,27
0.54,27
0.54,27
0.55,26
0.55,26
0.55,26
0.55,25
0.55,25
0.55,25
0.56,25
0.56,24
0.56,24
0.56,23
0.56,24
0.56,25
0.56,25
0.57,25
0.57,24
0.57,24
0.57,23
0.57,23
0.57,24
0.57,24
0.58,26
0.58,28
0.58,28
0.58,28
0.58,27
0.58,27
0.59,27
0.59,27
0.59,27
0.59,28
0.59,28
0.59,28
0.6,28
0.6,28
0.6,27
0.6,27
0.6,27
0.6,27
0.61,27
0.61,28
0.61,29
0.61,29
0.61,29
0.61,29
0.61,30
0.61,31
0.62,32
0.62,32
0.62,31
0.62,31
0.62,31
0.63,30
0.63,30
0.63,29
0.63,29
0.63,29
0.63,29
0.63,29
0.63,28
0.64,28
0.64,27
0.64,27
0.64,27
0.64,26
0.65,26
0.65,26
0.65,25
0.65,25
0.65,25
0.65,24
0.65,24
0.66,23
0.66,23
0.66,23
