Time_s,ADC
0.0,39
0.0,38
0.0,39
0.0,39
0.01,39
0.01,38
0.01,38
0.01,37
0.01,37
0.01,37
0.01,37
0.02,36
0.02,36
0.02,36
0.02,35
0.02,35
0.02,35
0.03,36
0.03,35
0.03,34
0.03,34
0.03,33
0.03,33
0.03,33
0.04,33
0.04,32
0.04,32
0.04,32
0.04,33
0.04,32
0.05,32
0.05,32
0.05,33
0.05,32
0.05,32
0.05,32
0.05,32
0.06,33
0.06,33
0.06,32
0.06,31
0.06,31
0.06,32
0.07,31
0.07,31
0.07,32
0.07,31
0.07,30
0.07,30
0.07,30
0.08,30
0.08,30
0.08,29
0.08,29
0.08,29
0.08,28
0.09,29
0.09,29
0.09,29
0.09,28
0.09,29
0.09,29
0.1,28
0.1,29
0.1,29
0.1,29
0.1,29
0.1,29
0.1,29
0.11,30
0.11,29
0.11,29
0.11,29
0.11,29
0.11,29
0.11,29
0.12,29
0.12,29
0.12,30
0.12,30
0.12,30
0.12,29
0.12,31
0.13,31
0.13,31
0.13,31
0.13,32
0.13,31
0.13,32
0.14,33
0.14,33
0.14,33
0.14,33
0.14,33
0.14,32
0.14,32
0.15,32
0.15,32
0.15,31
0.15,31
0.15,32
0.15,31
0.16,31
0.16,30
0.16,30
0.16,30
0.16,29
0.16,29
0.17,30
0.17,29
0.17,29
0.17,31
0.17,32
0.17,32
0.17,32
0.18,32
0.18,32
0.18,33
0.18,35
0.18,34
0.18,34
0.19,34
0.19,34
0.19,34
0.19,33
0.19,33
0.19,33
0.19,32
0.2,32
0.2,32
0.2,31
0.2,31
0.2,32
0.2,32
0.2,31
0.21,31
0.21,31
0.21,30
0.21,30
0.21,30
0.22,30
0.22,29
0.22,29
0.22,30
0.22,30
0.22,30
0.22,30
0.22,30
0.23,29
0.23,29
0.23,31
0.23,31
0.23,31
0.23,31
0.24,32
0.24,31
0.24,32
0.24,31
0.24,32
0.24,32
0.25,31
0.25,31
0.25,31
0.25,30
0.25,31
0.25,31
0.25,32
0.26,32
0.26,32
0.26,31
0.26,31
0.26,31
0.26,30
0.26,30
0.27,30
0.27,32
0.27,35
0.27,35
0.27,34
0.27,35
0.28,37
0.28,37
0.28,36
0.28,37
0.28,36
0.28,36
0.28,36
0.29,37
0.29,37
0.29,37
0.29,37
0.29,36
0.29,35
0.3,34
0.3,34
0.3,33
0.3,33
0.3,34
0.3,34
0.31,35
0.31,35
0.31,36
0.31,35
0.31,34
0.31,34
0.31,34
0.32,35
0.32,35
0.32,35
0.32,34
0.32,34
0.32,34
0.32,33
0.33,34
0.33,36
0.33,36
0.33,36
0.33,36
0.33,35
0.34,35
0.34,34
0.34,34
0.34,33
0.34,34
0.34,34
0.35,33
0.35,33
0.35,33
0.35,32
0.35,33
0.35,33
0.35,34
0.36,34
0.36,34
0.36,33
0.36,33
0.36,32
0.36,33
0.37,33
0.37,32
0.37,33
0.37,34
0.37,35
0.37,35
0.37,35
0.38,34
0.38,33
0.38,33
0.38,33
0.38,32
0.38,33
0.39,35
0.39,36
0.39,35
0.39,35
0.39,34
0.39,34
0.4,33
0.4,32
0.4,32
0.4,32
0.4,31
0.4,31
0.4,32
0.41,32
0.41,31
0.41,31
0.41,31
0.41,31
0.41,30
0.41,30
0.42,29
0.42,30
0.42,30
0.42,31
0.42,31
0.42,31
0.43,30
0.43,30
0.43,30
0.43,30
0.43,30
0.43,29
0.44,29
0.44,29
0.44,29
0.44,31
0.44,30
0.44,31
0.44,30
0.45,30
0.45,30
0.45,29
0.45,29
0.45,31
0.45,34
0.45,35
0.46,35
0.46,36
0.46,36
0.46,36
0.46,35
0.46,36
0.46,36
0.47,35
0.47,36
0.47,37
0.47,37
0.47,37
0.47,36
0.48,35
0.48,34
0.48,35
0.48,34
0.48,33
0.48,34
0.49,36
0.49,37
0.49,39
0.49,39
0.49,38
0.49,37
0.5,37
0.5,36
0.5,36
0.5,35
0.5,35
0.5,36
0.5,36
0.5,36
0.51,35
0.51,35
0.51,34
0.51,35
0.51,35
0.52,35
0.52,34
0.52,35
0.52,35
0.52,35
0.52,36
0.52,35
0.53,34
0.53,34
0.53,33
0.53,33
0.53,32
0.53,32
0.54,32
0.54,33
0.54,34
0.54,35
0.54,35
0.54,34
0.54,34
0.55,34
0.55,33
0.55,32
0.55,32
0.55,33
0.55,34
0.56,33
0.56,32
0.56,32
0.56,32
0.56,32
0.56,31
0.56,31
0.57,31
0.57,30
0.57,31
0.57,32
0.57,32
0.57,33
0.57,32
0.58,31
0.58,31
0.58,31
0.58,31
0.58,30
