Time_s,ADC
0.0,61
0.0,62
0.0,63
0.0,60
0.01,59
0.01,59
0.01,60
0.01,62
0.01,63
0.01,61
0.01,60
0.02,58
0.02,58
0.02,57
0.02,56
0.02,56
0.02,56
0.03,56
0.03,55
0.03,55
0.03,54
0.03,53
0.03,52
0.03,50
0.04,50
0.04,50
0.04,49
0.04,48
0.04,47
0.04,46
0.05,47
0.05,47
0.05,47
0.05,47
0.05,47
0.05,48
0.05,52
0.06,55
0.06,54
0.06,54
0.06,54
0.06,53
0.06,52
0.07,51
0.07,51
0.07,51
0.07,49
0.07,49
0.07,50
0.07,51
0.08,51
0.08,50
0.08,50
0.08,51
0.08,52
0.08,51
0.09,49
0.09,49
0.09,48
0.09,46
0.09,46
0.09,44
0.1,44
0.1,43
0.1,42
0.1,42
0.1,42
0.1,42
0.1,41
0.11,42
0.11,47
0.11,51
0.11,51
0.11,54
0.11,61
0.11,65
0.12,64
0.12,63
0.12,63
0.12,62
0.12,61
0.12,60
0.12,59
0.13,58
0.13,56
0.13,55
0.13,54
0.13,57
0.13,59
0.14,59
0.14,58
0.14,60
0.14,61
0.14,61
0.14,61
0.14,61
0.15,63
0.15,62
0.15,61
0.15,62
0.15,61
0.15,59
0.16,58
0.16,57
0.16,55
0.16,54
0.16,54
0.16,53
0.17,51
0.17,50
0.17,49
0.17,49
0.17,52
0.17,57
0.17,58
0.18,59
0.18,65
0.18,70
0.18,71
0.18,69
0.18,68
0.19,65
0.19,64
0.19,63
0.19,63
0.19,61
0.19,60
0.19,60
0.2,61
0.2,60
0.2,58
0.2,57
0.2,56
0.2,55
0.2,56
0.21,56
0.21,54
0.21,53
0.21,53
0.21,55
0.22,57
0.22,58
0.22,57
0.22,56
0.22,57
0.22,55
0.22,54
0.22,54
0.23,54
0.23,53
0.23,52
0.23,50
0.23,49
0.23,48
0.24,47
0.24,46
0.24,46
0.24,48
0.24,49
0.24,50
0.25,48
0.25,49
0.25,52
0.25,53
0.25,54
0.25,53
0.25,53
0.26,54
0.26,55
0.26,59
0.26,63
0.26,64
0.26,65
0.26,69
0.27,75
0.27,77
0.27,77
0.27,74
0.27,73
0.27,71
0.28,69
0.28,67
0.28,66
0.28,65
0.28,64
0.28,65
0.28,67
0.29,68
0.29,68
0.29,67
0.29,68
0.29,68
0.29,67
0.3,66
0.3,66
0.3,65
0.3,64
0.3,64
0.3,62
0.31,60
0.31,59
0.31,60
0.31,60
0.31,59
0.31,58
0.31,56
0.32,55
0.32,55
0.32,55
0.32,57
0.32,56
0.32,57
0.32,59
0.33,58
0.33,57
0.33,57
0.33,57
0.33,58
0.33,59
0.34,59
0.34,58
0.34,59
0.34,60
0.34,60
0.34,59
0.35,59
0.35,58
0.35,56
0.35,56
0.35,57
0.35,56
0.35,56
0.36,60
0.36,61
0.36,61
0.36,60
0.36,59
0.36,61
0.37,63
0.37,64
0.37,63
0.37,64
0.37,63
0.37,61
0.37,61
0.38,61
0.38,60
0.38,59
0.38,58
0.38,56
0.38,55
0.39,54
0.39,55
0.39,57
0.39,58
0.39,57
0.39,56
0.4,56
0.4,55
0.4,56
0.4,60
0.4,64
0.4,64
0.4,63
0.41,63
0.41,61
0.41,60
0.41,58
0.41,57
0.41,55
0.41,54
0.42,54
0.42,53
0.42,55
0.42,58
0.42,59
0.42,59
0.43,60
0.43,59
0.43,58
0.43,57
0.43,57
0.43,57
0.44,60
0.44,61
0.44,61
0.44,59
0.44,58
0.44,56
0.44,55
0.45,53
0.45,52
0.45,51
0.45,50
0.45,51
0.45,52
0.45,53
0.46,53
0.46,52
0.46,52
0.46,53
0.46,53
0.46,52
0.46,51
0.47,49
0.47,48
0.47,48
0.47,47
0.47,46
0.47,45
0.48,44
0.48,43
0.48,43
0.48,42
0.48,44
0.48,45
0.49,44
0.49,46
0.49,47
0.49,48
0.49,49
0.49,48
0.5,48
0.5,48
0.5,47
0.5,46
0.5,45
0.5,48
0.5,51
0.5,52
0.51,52
0.51,54
0.51,55
0.51,53
0.51,52
0.52,51
0.52,51
0.52,51
0.52,49
0.52,49
0.52,50
0.52,49
0.53,49
0.53,47
0.53,46
0.53,45
0.53,46
0.53,47
0.54,47
0.54,46
0.54,45
0.54,44
0.54,43
0.54,43
0.54,43
0.55,42
0.55,41
0.55,41
0.55,40
0.55,40
0.55,43
0.56,42
0.56,41
0.56,40
0.56,39
0.56,39
0.56,39
0.56,41
0.57,42
0.57,41
0.57,41
0.57,42
0.57,41
0.57,41
0.57,41
0.58,40
0.58,39
0.58,38
0.58,39
0.58,41
0.58,42
0.59,42
0.59,41
0.59,40
0.59,39
0.59,39
0.59,38
0.6,38
0.6,37
0.6,36
0.6,35
0.6,35
0.6,37
0.61,39
0.61,38
0.61,41
0.61,46
0.61,48
0.61,47
0.61,46
0.61,45
0.62,44
0.62,43
0.62,42
0.62,41
0.62,42
0.63,43
0.63,44
0.63,45
0.63,44
0.63,44
0.63,43
0.63,43
0.63,42
0.64,43
0.64,42
0.64,42
0.64,42
0.64,41
0.65,41
0.65,41
0.65,40
0.65,40
0.65,40
0.65,39
0.65,39
0.66,39
0.66,39
0.66,38
0.66,38
0.66,38
0.66,37
0.67,38
0.67,38
0.67,37
0.67,37
0.67,37
0.67,37
0.67,38
0.68,43
0.68,44
0.68,43
0.68,42
0.68,41
0.68,41
0.69,40
0.69,40
0.69,39
0.69,39
0.69,38
0.69,37
0.69,37
0.7,36
0.7,36
0.7,37
0.7,38
0.7,38
0.7,38
0.7,38
0.71,37
0.71,36
0.71,36
0.71,35
0.71,35
0.71,36
0.71,36
0.72,37
0.72,39
0.72,40
0.72,39
0.72,39
0.72,39
0.73,38
0.73,38
0.73,39
0.73,40
0.73,39
0.74,39
0.74,39
0.74,40
0.74,41
0.74,40
0.74,39
0.74,39
0.75,40
0.75,39
0.75,39
0.75,40
0.75,41
0.75,42
0.75,43
0.76,45
0.76,45
0.76,45
0.76,49
0.76,50
0.76,50
0.76,51
0.77,51
0.77,49
0.77,48
0.77,47
0.77,46
0.77,45
0.78,44
0.78,44
0.78,44
0.78,43
0.78,44
0.78,43
0.79,43
0.79,41
0.79,41
0.79,40
0.79,39
0.79,38
0.79,38
0.8,37
0.8,37
0.8,37
0.8,36
0.8,35
0.8,35
0.81,34
0.81,34
0.81,34
0.81,34
0.81,33
0.81,36
0.81,39
0.82,39
0.82,41
0.82,49
0.82,53
0.82,52
0.82,51
0.83,49
0.83,48
0.83,47
0.83,47
0.83,47
0.83,47
0.83,46
0.84,46
0.84,44
0.84,44
0.84,44
0.84,44
0.84,43
0.85,43
0.85,42
0.85,41
0.85,40
0.85,40
0.85,40
0.86,40
0.86,39
0.86,39
0.86,39
0.86,39
0.86,40
0.86,40
0.87,42
0.87,42
0.87,42
0.87,42
0.87,41
0.87,41
0.88,44
0.88,48
0.88,49
0.88,48
0.88,47
0.88,46
0.88,45
0.88,44
0.89,45
0.89,45
0.89,44
0.89,43
0.89,43
0.89,43
0.9,43
0.9,44
0.9,46
0.9,47
0.9,46
0.9,46
0.91,49
0.91,51
0.91,50
0.91,49
0.91,48
0.91,47
0.91,47
0.92,50
0.92,49
0.92,48
0.92,47
0.92,46
0.92,46
0.93,46
0.93,45
0.93,45
0.93,45
0.93,45
0.93,44
0.93,43
0.94,44
0.94,45
0.94,47
0.94,46
0.94,46
0.94,45
0.95,46
0.95,49
0.95,51
0.95,51
0.95,50
0.95,52
0.95,56
0.96,61
0.96,63
0.96,61
0.96,61
0.96,65
0.96,66
0.97,66
0.97,64
0.97,63
0.97,62
0.97,60
0.97,60
0.98,60
0.98,63
0.98,65
0.98,64
0.98,66
0.98,69
0.98,68
0.99,67
0.99,66
0.99,65
0.99,65
0.99,63
0.99,62
1.0,64
1.0,67
1.0,67
1.0,65
1.0,64
1.0,64
1.0,64
1.01,64
1.01,64
1.01,62
1.01,60
1.01,58
1.01,59
1.01,61
1.02,62
1.02,61
1.02,64
1.02,67
1.02,66
1.02,66
1.03,66
1.03,66
1.03,64
1.03,63
1.03,65
1.03,68
1.03,68
1.04,67
1.04,68
1.04,68
1.04,67
1.04,66
1.04,66
1.05,65
1.05,63
1.05,61
1.05,60
1.05,58
1.05,57
1.05,57
1.06,55
1.06,54
1.06,53
1.06,53
1.06,53
1.06,53
1.07,52
1.07,53
1.07,56
1.07,55
1.07,57
1.07,59
1.08,57
1.08,60
1.08,63
1.08,64
1.08,64
1.08,65
1.08,66
1.09,65
1.09,67
1.09,66
1.09,65
1.09,66
1.09,65
1.1,64
1.1,62
1.1,60
1.1,60
1.1,59
1.1,57
1.1,56
1.11,56
1.11,55
1.11,54
1.11,54
1.11,58
1.11,58
1.12,57
1.12,60
1.12,63
1.12,62
1.12,61
1.12,60
1.12,59
1.13,57
1.13,56
1.13,55
1.13,56
1.13,61
1.13,63
1.13,63
1.14,62
1.14,61
1.14,60
1.14,63
1.14,68
1.14,70
1.15,69
1.15,67
1.15,66
1.15,64
1.15,62
1.15,62
1.16,62
1.16,61
1.16,60
1.16,58
1.16,57
1.16,56
1.16,58
1.17,60
1.17,59
1.17,59
1.17,58
1.17,57
1.17,57
1.18,58
1.18,60
1.18,60
1.18,59
1.18,58
1.18,57
1.18,56
1.19,56
1.19,57
1.19,60
1.19,60
1.19,59
1.2,59
1.2,59
1.2,59
1.2,58
1.2,58
1.2,56
1.2,58
1.21,60
1.21,60
1.21,59
1.21,57
1.21,57
1.21,59
1.21,63
1.22,62
1.22,62
1.22,64
1.22,63
1.22,65
1.22,65
1.23,64
1.23,64
1.23,63
1.23,62
1.23,61
1.23,60
1.23,60
1.24,62
1.24,61
1.24,60
1.24,58
1.24,59
1.24,60
1.25,59
1.25,60
1.25,62
1.25,62
1.25,61
1.25,61
1.25,62
1.26,62
1.26,62
1.26,62
1.26,62
1.26,61
1.26,60
1.26,59
1.27,59
1.27,57
1.27,56
1.27,56
1.27,61
1.27,65
1.28,64
1.28,66
1.28,72
1.28,76
1.28,74
1.28,74
1.29,75
1.29,73
1.29,75
1.29,77
1.29,77
1.29,76
1.29,79
1.3,80
1.3,80
1.3,78
1.3,76
1.3,74
1.3,73
1.31,71
1.31,72
1.31,77
1.31,79
1.31,79
1.31,84
1.32,90
1.32,90
1.32,88
1.32,86
1.32,83
1.32,85
1.33,87
1.33,88
1.33,89
1.33,88
1.33,86
1.33,90
1.33,95
1.34,94
1.34,93
1.34,92
1.34,89
1.34,89
1.34,88
1.34,88
1.35,87
1.35,85
1.35,85
1.35,87
1.35,92
1.35,93
1.36,91
1.36,92
1.36,93
1.36,92
1.36,91
1.36,92
1.36,92
1.37,90
1.37,88
1.37,86
1.37,86
1.37,87
1.37,87
1.38,88
1.38,87
1.38,85
1.38,85
1.38,88
1.38,87
1.38,85
1.39,84
1.39,82
1.39,83
1.39,83
1.39,81
1.39,80
1.39,79
1.4,79
1.4,78
1.4,79
1.4,79
1.4,80
1.4,80
1.41,78
1.41,76
1.41,76
1.41,81
1.41,87
1.41,90
1.42,88
1.42,87
1.42,85
1.42,82
1.42,80
1.42,79
1.42,81
1.43,83
1.43,87
1.43,91
1.43,91
1.43,92
1.43,98
1.44,100
1.44,97
1.44,98
1.44,101
1.44,100
1.44,99
1.45,102
1.45,104
1.45,105
1.45,112
1.45,113
1.45,115
1.46,121
1.46,119
1.46,118
1.46,118
1.46,116
1.46,113
1.47,113
1.47,114
1.47,118
1.47,121
1.47,120
1.47,117
1.47,113
1.48,112
1.48,113
1.48,113
1.48,110
1.48,107
1.48,105
1.49,104
1.49,101
1.49,100
1.49,99
1.49,97
1.49,98
1.5,100
1.5,100
1.5,98
1.5,96
1.5,95
1.5,93
1.5,90
1.51,89
1.51,87
1.51,88
1.51,93
1.51,99
1.51,102
1.51,100
1.52,103
1.52,110
1.52,116
1.52,113
1.52,114
1.52,113
1.53,110
1.53,106
1.53,103
1.53,101
1.53,100
1.53,97
1.54,100
1.54,106
1.54,107
1.54,105
1.54,106
1.54,108
1.55,111
1.55,112
1.55,108
1.55,106
1.55,104
1.55,102
1.55,100
1.56,98
1.56,96
1.56,94
1.56,92
1.56,93
1.56,96
1.57,94
1.57,96
1.57,96
1.57,93
1.57,91
1.57,90
1.58,89
1.58,92
1.58,90
1.58,89
1.58,93
1.58,99
1.59,103
1.59,100
1.59,98
1.59,98
1.59,98
1.59,101
1.59,104
1.6,102
1.6,102
1.6,105
1.6,103
1.6,104
1.6,103
1.61,100
1.61,97
1.61,94
1.61,92
1.61,90
1.61,87
1.61,85
1.61,82
1.62,80
1.62,78
1.62,78
1.62,82
1.62,84
1.63,86
1.63,89
1.63,87
1.63,85
1.63,83
1.63,84
1.63,85
1.64,86
1.64,92
1.64,92
1.64,90
1.64,88
1.64,87
1.65,87
1.65,86
1.65,85
1.65,84
1.65,85
1.65,87
1.65,85
1.66,85
1.66,84
1.66,83
1.66,86
1.66,88
1.66,88
1.67,87
1.67,86
1.67,87
1.67,87
1.67,86
1.67,86
1.67,86
1.68,87
1.68,93
1.68,95
1.68,93
1.68,93
1.68,92
1.68,93
1.69,96
1.69,101
1.69,99
1.69,96
1.69,95
1.7,95
1.7,93
1.7,92
1.7,93
1.7,95
1.7,95
1.7,96
1.71,97
1.71,96
1.71,100
1.71,101
1.71,100
1.71,107
1.72,117
1.72,116
1.72,123
1.72,125
1.72,127
1.72,131
1.73,129
1.73,134
1.73,138
1.73,136
1.73,134
1.73,135
1.73,136
1.74,137
1.74,137
1.74,134
1.74,138
1.74,146
1.74,148
1.75,152
1.75,168
1.75,185
1.75,184
1.75,192
1.75,198
1.76,200
1.76,201
1.76,203
1.76,201
1.76,195
1.76,189
1.76,183
1.77,185
1.77,187
1.77,186
1.77,181
1.77,176
1.77,177
1.78,175
1.78,171
1.78,166
1.78,172
1.78,176
1.78,174
1.78,175
1.79,174
1.79,173
1.79,175
1.79,183
1.79,184
1.8,181
1.8,177
1.8,171
1.8,169
1.8,165
1.8,167
1.8,173
1.81,171
1.81,173
1.81,180
1.81,178
1.81,173
1.81,169
1.82,165
1.82,164
1.82,167
1.82,164
1.82,162
1.82,166
1.83,169
1.83,165
1.83,165
1.83,161
1.83,157
1.83,164
1.84,172
1.84,175
1.84,173
1.84,183
1.84,194
1.84,192
1.85,194
1.85,200
1.85,197
1.85,192
1.85,186
1.85,181
1.85,179
1.86,176
1.86,179
1.86,188
1.86,194
1.86,189
1.86,185
1.86,192
1.87,200
1.87,197
1.87,197
1.87,196
1.87,192
1.88,190
1.88,184
1.88,186
1.88,182
1.88,184
1.88,188
1.88,191
1.89,188
1.89,185
1.89,197
1.89,202
1.89,198
1.89,195
1.9,194
1.9,198
1.9,194
1.9,194
1.9,197
1.9,198
1.9,192
1.91,186
1.91,184
1.91,181
1.91,176
1.91,178
1.91,175
1.92,186
1.92,195
1.92,192
1.92,192
1.92,194
1.92,201
1.93,199
1.93,193
1.93,190
1.93,184
1.93,181
1.93,178
1.94,179
1.94,182
1.94,181
1.94,175
1.94,170
1.94,168
1.95,168
1.95,165
1.95,173
1.95,180
1.95,177
1.95,172
1.96,171
1.96,181
1.96,189
1.96,195
1.96,193
1.96,188
1.97,185
1.97,187
1.97,187
1.97,189
1.97,188
1.97,188
1.97,187
1.98,192
1.98,186
1.98,185
1.98,186
1.98,191
1.98,192
1.98,188
1.99,186
1.99,189
1.99,196
1.99,217
1.99,234
2.0,229
2.0,230
2.0,235
2.0,254
2.0,257
2.0,262
2.0,266
2.01,265
2.01,270
2.01,271
2.01,275
2.01,276
2.01,274
2.02,268
2.02,277
2.02,285
2.02,291
2.02,288
2.02,281
2.03,285
2.03,284
2.03,292
2.03,315
2.03,324
2.03,319
2.04,311
2.04,309
2.04,300
2.04,299
2.04,293
2.04,288
2.04,280
2.05,273
2.05,265
2.05,257
2.05,253
2.05,246
2.05,240
2.06,248
2.06,255
2.06,250
2.06,250
2.06,254
2.06,252
2.07,246
2.07,246
2.07,247
2.07,241
2.07,252
2.07,269
2.08,267
2.08,273
2.08,271
2.08,269
2.08,279
2.08,291
2.08,298
2.09,295
2.09,306
2.09,311
2.09,308
2.09,303
2.09,308
2.1,309
2.1,309
2.1,311
2.1,307
2.1,308
2.1,303
2.11,308
2.11,312
2.11,307
2.11,313
2.11,325
2.11,330
2.12,324
2.12,317
2.12,313
2.12,308
2.12,306
2.12,303
2.12,316
2.13,325
2.13,322
2.13,314
2.13,312
2.13,313
2.13,311
2.14,311
2.14,305
2.14,300
2.14,301
2.14,307
2.14,329
2.15,337
2.15,326
2.15,316
2.15,305
2.15,303
2.15,310
2.16,305
2.16,314
2.16,316
2.16,320
2.16,320
2.16,319
2.16,324
2.17,318
2.17,316
2.17,334
2.17,344
2.17,340
2.17,331
2.18,322
2.18,329
2.18,341
2.18,335
2.18,337
2.18,339
2.19,348
2.19,351
2.19,344
2.19,340
2.19,334
2.19,337
2.2,329
2.2,330
2.2,348
2.2,359
2.2,371
2.2,417
2.2,445
2.21,444
2.21,431
2.21,421
2.21,415
2.21,412
2.21,400
2.22,386
2.22,380
2.22,376
2.22,381
2.22,389
2.22,387
2.23,407
2.23,415
2.23,405
2.23,391
2.23,385
2.23,383
2.24,373
2.24,360
2.24,354
2.24,348
2.24,351
2.24,365
2.24,361
2.25,362
2.25,359
2.25,360
2.25,366
2.25,359
2.25,358
2.26,360
2.26,355
2.26,345
2.26,349
2.26,369
2.26,383
2.27,375
2.27,370
2.27,373
2.27,372
2.27,363
2.27,362
2.28,356
2.28,351
2.28,346
2.28,340
2.28,345
2.28,349
2.29,363
2.29,360
2.29,382
2.29,408
2.29,415
2.29,417
2.29,413
2.3,400
2.3,390
2.3,386
2.3,383
2.3,373
2.3,362
2.31,356
2.31,353
2.31,346
2.31,347
2.31,346
2.31,339
2.32,335
2.32,325
2.32,315
2.32,319
2.32,325
2.32,320
2.33,312
2.33,308
2.33,307
2.33,329
2.33,347
2.33,349
2.33,341
2.34,351
2.34,362
2.34,355
2.34,344
2.34,340
2.34,365
2.35,381
2.35,380
2.35,377
2.35,365
2.35,354
2.35,346
2.36,345
2.36,342
2.36,335
2.36,324
2.36,318
2.36,331
2.37,339
2.37,355
2.37,385
2.37,403
2.37,414
2.37,419
2.37,409
2.38,398
2.38,393
2.38,391
2.38,389
2.38,379
2.38,372
2.39,374
2.39,368
2.39,363
2.39,356
2.39,350
2.39,359
2.4,364
2.4,357
2.4,361
2.4,354
2.4,352
2.4,374
2.41,386
2.41,376
2.41,365
2.41,369
2.41,370
2.41,358
2.41,352
2.42,349
2.42,342
2.42,333
2.42,328
2.42,322
2.42,316
2.43,315
2.43,319
2.43,322
2.43,316
2.43,308
2.43,306
2.44,300
2.44,303
2.44,310
2.44,318
2.44,324
2.44,319
2.45,317
2.45,314
2.45,315
2.45,319
2.45,319
2.45,316
2.45,308
2.46,308
2.46,316
2.46,309
2.46,303
2.46,304
2.46,319
2.47,342
2.47,350
2.47,355
2.47,363
2.47,361
2.47,353
2.48,348
2.48,346
2.48,341
2.48,334
2.48,325
2.48,315
2.49,304
2.49,296
2.49,288
2.49,279
2.49,279
2.49,304
2.49,318
2.5,313
2.5,310
2.5,310
2.5,305
2.5,304
2.5,301
2.51,292
2.51,288
2.51,281
2.51,288
2.51,296
2.51,300
2.52,304
2.52,301
2.52,296
2.52,292
2.52,292
2.52,287
2.53,279
2.53,275
2.53,270
2.53,284
2.53,301
2.53,301
2.53,292
2.54,284
2.54,280
2.54,280
2.54,284
2.54,288
2.54,291
2.55,289
2.55,282
2.55,286
2.55,283
2.55,276
2.55,278
2.56,285
2.56,296
2.56,303
2.56,306
2.56,306
2.56,307
2.57,305
2.57,301
2.57,298
2.57,292
2.57,286
2.57,282
2.57,277
2.58,271
2.58,262
2.58,256
2.58,262
2.58,266
2.58,262
2.59,254
2.59,252
2.59,254
2.59,255
2.59,253
2.59,248
2.6,242
2.6,242
2.6,239
2.6,257
2.6,281
2.6,286
2.61,281
2.61,276
2.61,273
2.61,271
2.61,269
2.61,267
2.61,265
2.62,261
2.62,256
2.62,251
2.62,247
2.62,241
2.62,233
2.63,226
2.63,219
2.63,215
2.63,216
2.63,214
2.63,213
2.64,220
2.64,225
2.64,227
2.64,226
2.64,226
2.64,231
2.64,234
2.65,228
2.65,223
2.65,225
2.65,230
2.65,230
2.66,225
2.66,219
2.66,218
2.66,214
2.66,214
2.66,215
2.66,216
2.67,222
2.67,223
2.67,220
2.67,219
2.67,219
2.67,213
2.68,208
2.68,203
2.68,204
2.68,203
2.68,200
2.68,196
2.68,194
2.69,193
2.69,189
2.69,193
2.69,195
2.69,204
2.7,215
2.7,218
2.7,219
2.7,221
2.7,222
2.7,217
2.7,211
2.71,204
2.71,204
2.71,202
2.71,197
2.71,195
2.71,198
2.72,199
2.72,194
2.72,189
2.72,188
2.72,186
2.72,182
2.72,177
2.73,176
2.73,175
