Time_s,ADC
0.0,38
0.0,37
0.0,38
0.0,38
0.01,38
0.01,38
0.01,38
0.01,38
0.01,38
0.01,38
0.01,37
0.02,37
0.02,36
0.02,37
0.02,37
0.02,37
0.02,36
0.03,37
0.03,37
0.03,38
0.03,38
0.03,37
0.03,37
0.03,35
0.04,36
0.04,37
0.04,37
0.04,36
0.04,37
0.04,38
0.05,38
0.05,38
0.05,37
0.05,37
0.05,36
0.05,37
0.05,38
0.06,37
0.06,37
0.06,37
0.06,37
0.06,37
0.06,37
0.07,36
0.07,36
0.07,35
0.07,36
0.07,37
0.07,36
0.07,36
0.08,37
0.08,37
0.08,38
0.08,37
0.08,36
0.08,36
0.09,36
0.09,37
0.09,37
0.09,37
0.09,37
0.09,37
0.1,37
0.1,38
0.1,37
0.1,37
0.1,36
0.1,36
0.1,37
0.11,37
0.11,36
0.11,37
0.11,37
0.11,37
0.11,37
0.11,36
0.12,36
0.12,35
0.12,36
0.12,36
0.12,36
0.12,35
0.12,36
0.13,36
0.13,37
0.13,37
0.13,36
0.13,35
0.13,35
0.14,35
0.14,36
0.14,36
0.14,35
0.14,36
0.14,36
0.14,37
0.15,36
0.15,36
0.15,35
0.15,35
0.15,36
0.15,36
0.16,35
0.16,35
0.16,36
0.16,35
0.16,36
0.16,36
0.17,35
0.17,35
0.17,34
0.17,35
0.17,35
0.17,35
0.17,35
0.18,35
0.18,35
0.18,35
0.18,34
0.18,34
0.18,34
0.19,33
0.19,34
0.19,35
0.19,34
0.19,34
0.19,35
0.19,35
0.2,36
0.2,35
0.2,35
0.2,34
0.2,35
0.2,37
0.2,38
0.21,37
0.21,36
0.21,36
0.21,36
0.21,36
0.22,36
0.22,35
0.22,34
0.22,34
0.22,36
0.22,36
0.22,35
0.22,35
0.23,36
0.23,36
0.23,36
0.23,36
0.23,35
0.23,35
0.24,36
0.24,36
0.24,36
0.24,36
0.24,36
0.24,36
0.25,37
0.25,37
0.25,36
0.25,36
0.25,35
0.25,36
0.25,37
0.26,37
0.26,36
0.26,36
0.26,36
0.26,37
0.26,36
0.26,36
0.27,35
0.27,34
0.27,36
0.27,36
0.27,35
0.27,35
0.28,35
0.28,36
0.28,37
0.28,37
0.28,36
0.28,35
0.28,35
0.29,36
0.29,36
0.29,36
0.29,35
0.29,36
0.29,36
0.29,37
0.3,36
0.3,36
0.3,35
0.3,35
0.3,37
0.31,37
0.31,36
0.31,36
0.31,37
0.31,37
0.31,37
0.31,36
0.32,36
0.32,35
0.32,36
0.32,36
0.32,36
0.32,36
0.32,36
0.33,37
0.33,37
0.33,38
0.33,37
0.33,36
0.33,35
0.34,36
0.34,37
0.34,36
0.34,36
0.34,37
0.34,38
0.35,38
0.35,37
0.35,37
0.35,36
0.35,36
0.35,37
0.35,38
0.36,38
0.36,37
0.36,37
0.36,37
0.36,38
0.36,38
0.37,37
0.37,36
0.37,36
0.37,38
0.37,38
0.37,38
0.37,37
0.38,37
0.38,38
0.38,39
0.38,38
0.38,38
0.38,37
0.39,37
0.39,38
0.39,38
0.39,38
0.39,38
0.39,38
0.4,39
0.4,40
0.4,39
0.4,38
0.4,37
0.4,37
0.4,38
0.4,39
0.41,38
0.41,38
0.41,38
0.41,38
0.41,38
0.41,37
0.42,37
0.42,36
0.42,36
