Time_s,ADC
0.0,85
0.0,84
0.0,84
0.0,84
0.01,86
0.01,86
0.01,86
0.01,84
0.01,84
0.01,86
0.01,87
0.02,85
0.02,85
0.02,85
0.02,85
0.02,86
0.02,85
0.03,85
0.03,84
0.03,83
0.03,86
0.03,86
0.03,83
0.03,83
0.04,83
0.04,83
0.04,84
0.04,82
0.04,82
0.04,81
0.05,80
0.05,82
0.05,82
0.05,81
0.05,81
0.05,81
0.05,83
0.06,84
0.06,83
0.06,83
0.06,82
0.06,82
0.06,84
0.07,84
0.07,82
0.07,82
0.07,82
0.07,84
0.07,85
0.07,83
0.08,83
0.08,82
0.08,83
0.08,85
0.08,84
0.08,83
0.09,83
0.09,84
0.09,86
0.09,86
0.09,85
0.09,85
0.1,84
0.1,85
0.1,87
0.1,86
0.1,85
0.1,85
0.1,85
0.11,87
0.11,87
0.11,85
0.11,84
0.11,82
0.11,84
0.11,85
0.12,84
0.12,83
0.12,83
0.12,83
0.12,86
0.12,85
0.12,84
0.13,83
0.13,83
0.13,85
0.13,85
0.13,83
0.13,82
0.14,83
0.14,83
0.14,85
0.14,83
0.14,83
0.14,82
0.14,81
0.15,84
0.15,85
0.15,82
0.15,83
0.15,83
0.15,84
0.16,85
0.16,84
0.16,84
0.16,83
0.16,82
0.16,85
0.17,85
0.17,83
0.17,83
0.17,84
0.17,85
0.17,86
0.17,85
0.18,85
0.18,84
0.18,85
0.18,88
0.18,87
0.18,85
0.19,86
0.19,87
0.19,89
0.19,89
0.19,88
0.19,87
0.19,86
0.2,87
0.2,89
0.2,88
0.2,86
0.2,86
0.2,86
0.2,88
0.21,88
0.21,86
0.21,86
0.21,85
0.21,86
0.22,88
0.22,86
0.22,85
0.22,86
0.22,86
0.22,88
0.22,88
0.22,87
0.23,86
0.23,85
0.23,86
0.23,88
0.23,85
0.23,85
0.24,85
0.24,85
0.24,87
0.24,86
0.24,86
0.24,84
0.25,83
0.25,85
0.25,86
0.25,84
0.25,84
0.25,85
0.25,87
0.26,91
0.26,91
0.26,91
0.26,93
0.26,94
0.26,97
0.26,98
0.27,95
0.27,94
0.27,95
0.27,94
0.27,95
0.27,94
0.28,94
0.28,92
0.28,91
0.28,94
0.28,93
0.28,91
0.28,91
0.29,92
0.29,94
0.29,95
0.29,92
0.29,91
0.29,90
0.3,90
0.3,92
0.3,91
0.3,89
0.3,90
0.3,90
0.31,91
0.31,91
0.31,90
0.31,89
0.31,88
0.31,89
0.31,91
0.32,89
0.32,89
0.32,89
0.32,88
0.32,90
0.32,89
0.32,89
0.33,88
0.33,87
0.33,89
0.33,90
0.33,88
0.33,87
0.34,87
0.34,87
0.34,88
0.34,87
0.34,87
0.34,86
0.35,85
0.35,87
0.35,87
0.35,86
0.35,86
0.35,85
0.35,86
0.36,87
0.36,86
0.36,86
0.36,85
0.36,84
0.36,87
0.37,87
0.37,84
0.37,84
0.37,85
0.37,86
0.37,87
0.37,85
0.38,85
0.38,83
0.38,84
0.38,86
0.38,86
0.38,84
0.39,85
0.39,84
0.39,86
0.39,86
0.39,85
0.39,84
0.4,84
0.4,84
0.4,86
0.4,85
0.4,84
0.4,84
0.4,84
0.41,86
0.41,85
0.41,85
0.41,85
0.41,84
0.41,85
0.41,87
0.42,85
0.42,84
0.42,85
0.42,84
0.42,86
0.42,85
0.43,85
0.43,83
0.43,83
0.43,85
0.43,85
0.43,83
0.44,83
0.44,82
0.44,83
0.44,85
0.44,83
0.44,84
0.44,83
0.45,83
0.45,86
0.45,86
0.45,84
0.45,85
0.45,85
0.45,87
0.46,88
0.46,86
0.46,86
0.46,85
0.46,85
0.46,88
0.46,87
0.47,85
0.47,86
0.47,85
0.47,87
0.47,88
0.47,86
0.48,86
0.48,85
0.48,85
0.48,87
0.48,86
0.48,84
0.49,84
0.49,85
0.49,87
0.49,87
0.49,86
0.49,86
0.5,85
0.5,86
0.5,88
0.5,86
0.5,85
0.5,86
0.5,85
0.5,88
0.51,86
0.51,86
0.51,86
0.51,84
0.51,86
0.52,87
0.52,85
0.52,85
0.52,85
0.52,85
0.52,87
0.52,85
0.53,85
0.53,85
0.53,84
0.53,87
0.53,87
0.53,84
0.54,84
0.54,83
0.54,84
0.54,86
0.54,84
0.54,84
0.54,83
0.55,83
0.55,85
0.55,85
0.55,84
0.55,84
0.55,84
0.56,86
0.56,86
0.56,84
0.56,84
0.56,83
0.56,83
0.56,86
0.57,85
0.57,83
0.57,83
0.57,82
0.57,84
0.57,83
0.57,83
0.58,83
0.58,81
0.58,82
0.58,85
0.58,83
0.58,82
0.59,82
0.59,82
0.59,84
0.59,84
0.59,83
0.59,81
0.6,80
0.6,82
0.6,84
0.6,81
0.6,81
0.6,81
0.61,82
0.61,84
0.61,83
0.61,83
0.61,83
0.61,84
0.61,86
0.61,87
0.62,85
0.62,85
0.62,85
0.62,86
0.62,88
0.62,86
0.63,86
0.63,85
0.63,85
0.63,88
0.63,88
0.63,86
0.63,86
0.64,86
0.64,87
0.64,88
0.64,86
0.64,86
0.65,85
0.65,85
0.65,88
0.65,88
0.65,85
0.65,86
0.65,86
0.66,88
0.66,88
0.66,87
0.66,86
0.66,86
0.66,87
0.67,89
0.67,87
0.67,86
0.67,86
0.67,86
0.67,88
0.67,87
0.68,86
0.68,84
0.68,84
0.68,86
0.68,87
0.68,85
0.69,84
0.69,84
0.69,85
0.69,86
0.69,85
0.69,84
0.69,84
0.7,83
0.7,86
0.7,87
0.7,84
0.7,84
0.7,84
0.7,84
0.71,85
0.71,84
0.71,84
0.71,83
0.71,83
0.71,85
0.71,86
0.72,83
0.72,83
0.72,83
0.72,84
0.72,85
0.72,83
0.73,83
0.73,82
0.73,82
0.73,85
0.73,84
0.74,83
0.74,83
0.74,83
0.74,85
0.74,85
0.74,83
0.74,83
0.75,82
0.75,83
0.75,85
0.75,84
0.75,83
0.75,83
0.75,83
0.76,85
0.76,85
0.76,84
0.76,84
0.76,83
0.76,85
0.76,86
0.77,84
0.77,84
0.77,84
0.77,84
0.77,86
0.77,86
0.78,86
0.78,85
0.78,85
0.78,87
0.78,88
0.78,87
0.79,86
0.79,86
0.79,87
0.79,89
0.79,87
0.79,87
0.79,85
0.8,85
0.8,88
0.8,88
0.8,85
0.8,86
0.8,85
0.81,86
0.81,87
0.81,85
0.81,85
0.81,83
0.81,83
0.81,86
0.82,86
0.82,84
0.82,84
0.82,83
0.82,84
0.82,85
0.83,84
0.83,84
0.83,83
0.83,83
0.83,86
0.83,85
0.83,83
0.84,83
0.84,82
0.84,84
0.84,83
0.84,82
0.84,82
0.85,81
0.85,82
0.85,84
0.85,83
0.85,82
0.85,82
0.86,82
0.86,85
0.86,84
0.86,83
0.86,83
0.86,82
0.86,84
0.86,85
0.87,84
0.87,83
0.87,83
0.87,83
0.87,85
0.88,85
0.88,84
0.88,83
0.88,83
0.88,86
0.88,87
0.88,85
0.88,85
0.89,85
0.89,85
0.89,87
0.89,85
0.89,85
0.89,85
0.9,84
0.9,87
0.9,88
0.9,85
0.9,84
0.9,85
0.91,86
0.91,88
0.91,86
0.91,86
0.91,85
0.91,86
0.91,89
0.92,88
0.92,87
0.92,88
0.92,87
0.92,87
0.92,87
0.93,85
0.93,85
0.93,85
0.93,86
0.93,88
0.93,87
0.93,85
0.94,84
0.94,84
0.94,86
0.94,86
0.94,84
0.94,83
0.95,82
0.95,84
0.95,85
0.95,84
0.95,82
0.95,82
0.95,84
0.96,86
0.96,86
0.96,85
0.96,85
0.96,85
0.96,87
0.96,88
0.97,86
0.97,85
0.97,84
0.97,85
0.97,87
0.97,86
0.98,86
0.98,85
0.98,85
0.98,86
0.98,87
0.98,85
0.99,84
0.99,84
0.99,85
0.99,87
0.99,86
0.99,86
1.0,86
1.0,86
1.0,88
1.0,88
1.0,86
1.0,89
1.0,90
1.01,91
1.01,91
1.01,91
1.01,93
1.01,94
1.01,95
1.01,98
1.02,98
1.02,96
1.02,96
1.02,96
1.02,98
1.02,98
1.03,96
1.03,93
1.03,91
1.03,92
1.03,95
1.03,95
1.03,94
1.04,95
1.04,95
1.04,98
1.04,96
1.04,96
1.04,96
1.05,95
1.05,97
1.05,98
1.05,96
1.05,96
1.05,97
1.05,98
1.06,101
1.06,100
1.06,102
1.06,103
1.06,102
1.06,104
