Time_s,ADC
0.0,24
0.0,24
0.0,24
0.0,24
0.01,23
0.01,23
0.01,22
0.01,23
0.01,23
0.01,23
0.01,23
0.02,24
0.02,24
0.02,25
0.02,24
0.02,24
0.02,24
0.03,23
0.03,23
0.03,23
0.03,23
0.03,22
0.03,24
0.03,24
0.04,24
0.04,24
0.04,24
0.04,24
0.04,24
0.04,23
0.05,23
0.05,23
0.05,23
0.05,24
0.05,24
0.05,24
0.05,24
0.06,23
0.06,23
0.06,23
0.06,23
0.06,23
0.06,22
0.07,23
0.07,24
0.07,24
0.07,25
0.07,25
0.07,24
0.07,24
0.08,24
0.08,24
0.08,23
0.08,23
0.08,24
0.08,24
0.09,24
0.09,25
0.09,24
0.09,24
0.09,24
0.09,23
0.1,23
0.1,23
0.1,23
0.1,23
0.1,23
0.1,23
0.1,24
0.11,24
0.11,24
0.11,24
0.11,23
0.11,23
0.11,23
0.11,22
0.12,24
0.12,24
0.12,24
0.12,24
0.12,24
0.12,23
0.12,23
0.13,23
0.13,23
0.13,22
0.13,22
0.13,23
0.13,23
0.14,23
0.14,23
0.14,23
0.14,23
0.14,22
0.14,22
0.14,22
0.15,21
0.15,22
0.15,23
0.15,23
0.15,23
0.15,23
0.16,23
0.16,22
0.16,22
0.16,22
0.16,22
0.16,21
0.17,22
0.17,23
0.17,23
0.17,24
0.17,23
0.17,23
0.17,23
0.18,22
0.18,22
0.18,22
0.18,22
0.18,23
0.18,24
0.19,24
0.19,24
0.19,24
0.19,23
0.19,23
0.19,23
0.19,23
0.2,23
0.2,23
0.2,24
0.2,24
0.2,25
0.2,26
0.2,26
0.21,25
0.21,25
0.21,25
0.21,24
0.21,24
0.22,24
0.22,24
0.22,25
0.22,25
0.22,26
0.22,25
0.22,26
0.22,25
0.23,24
0.23,24
0.23,24
0.23,24
0.23,24
0.23,24
0.24,24
0.24,24
0.24,24
0.24,24
0.24,24
0.24,23
0.25,23
0.25,23
0.25,23
0.25,24
0.25,24
0.25,24
0.25,24
0.26,24
0.26,24
0.26,23
0.26,23
0.26,24
0.26,24
0.26,23
0.27,24
0.27,24
0.27,25
0.27,24
0.27,24
0.27,24
0.28,23
0.28,23
0.28,23
0.28,23
0.28,23
0.28,24
0.28,24
0.29,25
0.29,25
0.29,25
0.29,25
0.29,24
0.29,24
0.3,23
0.3,23
0.3,24
0.3,24
0.3,24
0.3,24
0.31,24
0.31,24
0.31,24
0.31,24
0.31,24
0.31,24
0.31,23
0.32,24
0.32,25
0.32,24
0.32,24
0.32,24
0.32,24
0.32,23
0.33,23
0.33,23
0.33,22
0.33,22
0.33,24
0.33,23
0.34,24
0.34,24
0.34,23
0.34,23
0.34,23
0.34,23
0.35,22
0.35,22
0.35,22
0.35,23
0.35,24
0.35,24
0.35,24
0.36,24
0.36,23
0.36,23
0.36,23
0.36,23
0.36,22
0.37,23
0.37,24
0.37,24
0.37,24
0.37,24
0.37,24
0.37,23
0.38,23
0.38,23
