Time_s,ADC
0.0,35
0.0,35
0.0,34
0.0,35
0.01,35
0.01,35
0.01,35
0.01,35
0.01,35
0.01,35
0.01,35
0.02,35
0.02,34
0.02,34
0.02,35
0.02,35
0.02,34
0.03,35
0.03,36
0.03,36
0.03,36
0.03,36
0.03,36
0.03,34
0.04,35
0.04,35
0.04,35
0.04,34
0.04,35
0.04,35
0.05,35
0.05,35
0.05,35
0.05,35
0.05,35
0.05,35
0.05,35
0.06,35
0.06,34
0.06,35
0.06,35
0.06,35
0.06,35
0.07,35
0.07,35
0.07,34
0.07,35
0.07,35
0.07,35
0.07,34
0.08,35
0.08,35
0.08,34
0.08,34
0.08,34
0.08,34
0.09,33
0.09,34
0.09,34
0.09,34
0.09,33
0.09,34
0.1,34
0.1,34
0.1,34
0.1,34
0.1,34
0.1,33
0.1,34
0.11,34
0.11,34
0.11,34
0.11,35
0.11,34
0.11,35
0.11,34
0.12,35
0.12,34
0.12,34
0.12,35
0.12,35
0.12,34
0.12,34
0.13,35
0.13,35
0.13,35
0.13,35
0.13,35
0.13,34
0.14,34
0.14,35
0.14,35
0.14,34
0.14,35
0.14,35
0.14,35
0.15,35
0.15,34
0.15,34
0.15,34
0.15,34
0.15,34
0.16,34
0.16,33
0.16,34
0.16,34
0.16,34
0.16,34
0.17,34
0.17,34
0.17,33
0.17,33
0.17,34
0.17,33
0.17,33
0.18,34
0.18,34
0.18,34
0.18,33
0.18,34
0.18,33
0.19,33
0.19,34
0.19,33
0.19,33
0.19,33
0.19,33
0.19,33
0.2,33
0.2,33
0.2,33
0.2,32
0.2,32
0.2,33
0.2,33
0.21,32
0.21,33
0.21,33
0.21,33
0.21,33
0.22,33
0.22,33
0.22,33
0.22,32
0.22,34
0.22,34
0.22,33
0.22,33
0.23,34
0.23,34
0.23,35
0.23,34
0.23,35
0.23,34
0.24,34
0.24,35
0.24,35
0.24,34
0.24,35
0.24,35
0.25,35
0.25,34
0.25,34
0.25,34
0.25,33
0.25,33
0.25,34
0.26,34
0.26,33
0.26,34
0.26,35
0.26,35
0.26,35
0.26,34
0.27,34
0.27,34
0.27,34
0.27,35
0.27,35
0.27,34
0.28,35
0.28,35
0.28,35
0.28,34
0.28,34
0.28,34
0.28,34
0.29,34
0.29,34
0.29,34
0.29,34
0.29,35
0.29,34
0.29,34
0.3,33
0.3,33
0.3,33
0.3,32
0.3,33
0.31,33
0.31,32
0.31,32
0.31,33
0.31,34
0.31,33
0.31,33
0.32,33
0.32,33
0.32,32
0.32,33
0.32,34
0.32,33
0.32,33
0.33,34
0.33,34
0.33,34
0.33,33
0.33,34
0.33,33
0.34,33
0.34,34
0.34,34
0.34,34
0.34,33
0.34,33
0.35,33
0.35,33
0.35,33
0.35,33
0.35,32
0.35,33
0.35,34
0.36,33
0.36,33
0.36,34
0.36,35
0.36,35
0.36,34
0.37,34
0.37,34
0.37,33
0.37,33
0.37,34
0.37,34
0.37,33
0.38,34
0.38,34
0.38,34
0.38,34
0.38,34
0.38,34
0.39,33
0.39,34
0.39,35
0.39,33
0.39,34
0.39,34
0.4,34
0.4,35
0.4,34
0.4,35
0.4,34
0.4,34
0.4,35
0.4,35
0.41,35
0.41,35
0.41,36
0.41,36
0.41,36
0.41,36
0.42,36
0.42,35
0.42,35
0.42,36
0.42,36
0.42,35
0.43,35
0.43,35
0.43,35
0.43,35
