Time_s,ADC
0.0,126
0.0,123
0.0,125
0.0,122
0.01,124
0.01,122
0.01,124
0.01,120
0.01,119
0.01,125
0.01,128
0.02,125
0.02,126
0.02,126
0.02,126
0.02,125
0.03,125
0.03,126
0.03,122
0.03,124
0.03,126
0.03,126
0.03,124
0.03,125
0.04,123
0.04,124
0.04,122
0.04,123
0.04,119
0.05,118
0.05,124
0.05,126
0.05,124
0.05,124
0.05,123
0.05,123
0.06,122
0.06,121
0.06,121
0.06,117
0.06,120
0.06,125
0.07,125
0.07,123
0.07,125
0.07,123
0.07,123
0.07,121
0.08,122
0.08,118
0.08,117
0.08,122
0.08,125
0.08,124
0.08,123
0.09,124
0.09,124
0.09,124
0.09,122
0.09,121
0.1,118
0.1,121
0.1,127
0.1,130
0.1,127
0.1,127
0.1,126
0.11,127
0.11,125
0.11,126
0.11,123
0.11,120
0.11,125
0.12,127
0.12,127
0.12,125
0.12,125
0.12,126
0.12,127
0.12,125
0.13,123
0.13,120
0.13,125
0.13,129
0.13,128
0.13,126
0.14,128
0.14,127
0.14,128
0.14,125
0.14,127
0.14,123
0.15,121
0.15,125
0.15,127
0.15,125
0.15,124
0.15,124
0.15,123
0.16,122
0.16,123
0.16,120
0.16,118
0.16,121
0.16,124
0.17,124
0.17,122
0.17,123
0.17,122
0.17,122
0.17,120
0.18,121
0.18,117
0.18,117
0.18,121
0.18,122
0.18,119
0.19,120
0.19,120
0.19,120
0.19,119
0.19,119
0.19,118
0.19,115
0.2,122
0.2,125
0.2,125
0.2,123
0.2,125
0.2,125
0.21,128
0.21,126
0.21,127
0.21,123
0.21,126
0.21,131
0.22,133
0.22,130
0.22,130
0.22,130
0.22,128
0.22,125
0.22,123
0.23,120
0.23,117
0.23,121
0.23,123
0.23,122
0.23,122
0.24,123
0.24,122
0.24,123
0.24,121
0.24,121
0.24,117
0.25,118
0.25,122
0.25,124
0.25,121
0.25,123
0.25,123
0.26,124
0.26,122
0.26,121
0.26,119
0.26,118
0.26,123
0.26,126
0.27,126
0.27,125
0.27,125
0.27,125
0.27,125
0.27,123
0.28,122
0.28,118
0.28,120
0.28,123
0.28,124
0.28,122
0.29,122
