Time_s,ADC
0.0,25
0.0,26
0.0,25
0.0,26
0.01,27
0.01,26
0.01,26
0.01,25
0.01,25
0.01,25
0.01,25
0.02,25
0.02,24
0.02,24
0.02,25
0.02,25
0.02,24
0.03,24
0.03,24
0.03,24
0.03,23
0.03,24
0.03,26
0.03,26
0.04,25
0.04,26
0.04,26
0.04,26
0.04,25
0.04,25
0.05,25
0.05,25
0.05,25
0.05,25
0.05,25
0.05,25
0.05,26
0.06,26
0.06,26
0.06,25
0.06,25
0.06,25
0.06,24
0.07,25
0.07,25
0.07,25
0.07,25
0.07,26
0.07,25
0.07,25
0.08,25
0.08,25
0.08,24
0.08,24
0.08,23
0.08,24
0.09,23
0.09,23
0.09,23
0.09,23
0.09,23
0.09,22
0.1,22
0.1,22
0.1,22
0.1,22
0.1,23
0.1,22
0.1,23
0.11,24
0.11,24
0.11,24
0.11,23
0.11,23
0.11,23
0.11,22
0.12,23
0.12,23
0.12,23
0.12,23
0.12,24
0.12,24
0.12,23
0.13,23
0.13,23
0.13,22
0.13,22
0.13,23
0.13,23
0.14,22
0.14,23
0.14,23
0.14,23
0.14,23
0.14,22
0.14,23
0.15,22
0.15,22
0.15,22
0.15,22
0.15,22
0.15,22
0.16,22
0.16,22
0.16,21
0.16,21
0.16,21
0.16,21
0.17,21
0.17,21
0.17,21
0.17,22
0.17,23
0.17,22
0.17,22
0.18,22
0.18,22
0.18,22
0.18,21
0.18,22
0.18,22
0.19,22
0.19,23
0.19,24
0.19,24
0.19,24
0.19,23
0.19,23
0.2,23
0.2,22
0.2,23
0.2,22
0.2,22
0.2,22
0.2,23
0.21,24
0.21,24
0.21,25
0.21,25
0.21,25
0.22,24
0.22,25
0.22,25
0.22,25
0.22,26
0.22,27
0.22,27
0.22,26
0.23,27
0.23,27
0.23,26
0.23,26
0.23,26
0.23,27
0.24,26
0.24,27
0.24,27
0.24,27
0.24,26
0.24,26
0.25,26
0.25,25
0.25,25
0.25,25
0.25,25
0.25,25
0.25,25
0.26,26
0.26,25
0.26,25
0.26,25
0.26,25
0.26,24
0.26,24
0.27,24
0.27,25
0.27,25
0.27,25
0.27,25
0.27,25
0.28,24
0.28,24
0.28,23
0.28,23
0.28,23
0.28,25
0.28,24
0.29,24
0.29,25
0.29,25
0.29,25
0.29,25
0.29,24
0.3,24
0.3,24
0.3,24
0.3,23
0.3,23
0.3,24
0.31,25
0.31,25
0.31,25
0.31,27
0.31,27
0.31,26
0.31,26
0.32,26
0.32,26
0.32,26
0.32,26
0.32,26
0.32,26
0.32,25
0.33,25
0.33,25
0.33,25
0.33,24
0.33,25
0.33,25
0.34,25
0.34,24
0.34,25
0.34,25
0.34,24
0.34,24
0.35,23
0.35,23
0.35,23
0.35,23
0.35,23
0.35,23
0.35,23
0.36,23
0.36,23
0.36,23
0.36,23
0.36,22
0.36,22
0.37,22
0.37,22
0.37,22
0.37,22
0.37,22
0.37,22
0.37,22
0.38,22
0.38,21
0.38,21
0.38,21
0.38,21
0.38,21
0.39,21
0.39,21
0.39,22
0.39,21
0.39,21
0.39,21
0.4,21
0.4,21
0.4,21
0.4,21
0.4,21
0.4,21
0.4,21
0.41,22
0.41,22
0.41,21
0.41,21
0.41,21
0.41,21
0.41,21
0.42,21
0.42,21
0.42,21
0.42,22
0.42,22
0.42,22
0.43,21
0.43,21
0.43,21
0.43,21
0.43,20
0.43,21
0.44,21
0.44,21
0.44,22
0.44,22
0.44,21
0.44,21
0.44,21
0.45,21
0.45,21
0.45,20
0.45,21
0.45,21
0.45,21
0.45,22
0.46,22
0.46,22
0.46,22
0.46,22
0.46,21
0.46,21
0.46,22
0.47,23
0.47,23
0.47,24
0.47,25
0.47,24
0.47,24
0.48,24
0.48,24
0.48,24
0.48,24
0.48,24
0.48,24
0.49,24
0.49,24
0.49,24
0.49,24
0.49,24
0.49,23
0.5,23
0.5,23
0.5,23
0.5,23
0.5,23
0.5,23
0.5,22
0.5,23
0.51,23
0.51,22
0.51,22
0.51,22
0.51,21
0.52,21
0.52,23
0.52,22
0.52,22
0.52,23
0.52,23
0.52,22
0.53,22
0.53,22
0.53,22
0.53,22
0.53,21
0.53,22
0.54,22
0.54,21
0.54,22
0.54,22
0.54,22
0.54,21
0.54,21
0.55,21
0.55,21
0.55,21
0.55,22
0.55,22
0.55,22
0.56,22
0.56,21
0.56,21
0.56,22
0.56,22
0.56,21
0.56,21
0.57,21
0.57,22
0.57,22
0.57,23
0.57,24
0.57,24
0.57,23
0.58,24
0.58,24
0.58,24
0.58,24
0.58,24
0.58,24
0.59,23
0.59,24
0.59,24
0.59,24
0.59,23
0.59,23
0.6,23
0.6,22
0.6,22
0.6,23
0.6,23
0.6,23
0.61,23
0.61,23
0.61,23
0.61,23
0.61,23
0.61,23
0.61,22
0.61,22
0.62,23
0.62,22
0.62,22
0.62,23
0.62,24
0.62,23
0.63,23
0.63,23
0.63,22
0.63,22
0.63,22
0.63,23
0.63,23
0.64,23
0.64,24
0.64,24
0.64,23
0.64,23
0.65,23
0.65,22
0.65,22
0.65,22
0.65,22
0.65,22
0.65,22
0.66,23
0.66,23
0.66,23
0.66,23
0.66,23
0.66,22
0.67,22
0.67,22
0.67,22
0.67,21
0.67,22
0.67,23
0.67,23
0.68,23
0.68,24
0.68,24
0.68,24
0.68,23
0.68,24
0.69,24
0.69,24
0.69,24
0.69,24
0.69,24
0.69,24
0.69,24
0.7,23
0.7,23
0.7,23
0.7,23
0.7,23
0.7,23
0.7,24
0.71,24
0.71,24
0.71,23
0.71,23
0.71,23
0.71,23
0.71,23
0.72,23
0.72,22
0.72,22
0.72,23
0.72,23
0.72,23
0.73,22
0.73,22
0.73,22
0.73,22
0.73,22
0.74,22
0.74,22
0.74,22
0.74,23
0.74,22
0.74,22
0.74,22
0.75,22
0.75,22
0.75,21
0.75,22
0.75,23
0.75,23
0.75,22
0.76,22
0.76,22
0.76,22
0.76,22
0.76,22
0.76,22
0.76,22
0.77,22
0.77,22
0.77,22
0.77,22
0.77,22
0.77,22
0.78,21
0.78,21
0.78,21
0.78,21
0.78,21
0.78,21
0.79,21
0.79,21
0.79,21
0.79,22
0.79,22
0.79,21
0.79,21
0.8,21
0.8,21
0.8,21
0.8,21
0.8,21
0.8,21
0.81,22
0.81,22
0.81,22
0.81,22
0.81,21
0.81,21
0.81,21
0.82,22
0.82,23
0.82,22
0.82,22
0.82,23
0.82,23
0.83,24
0.83,23
0.83,23
0.83,23
0.83,23
0.83,24
0.83,24
0.84,24
0.84,24
0.84,24
0.84,24
0.84,24
0.84,24
0.85,24
0.85,23
0.85,22
0.85,23
0.85,23
0.85,23
0.86,23
0.86,24
0.86,24
0.86,23
0.86,23
0.86,23
0.86,23
0.86,23
0.87,22
0.87,22
0.87,22
0.87,22
0.87,23
0.88,22
0.88,22
0.88,22
0.88,21
0.88,21
0.88,21
0.88,21
0.88,21
0.89,21
0.89,22
0.89,23
0.89,22
0.89,22
0.89,22
0.9,22
0.9,22
0.9,22
0.9,22
0.9,22
0.9,22
0.91,23
0.91,23
0.91,23
0.91,23
0.91,22
0.91,22
0.91,22
0.92,22
0.92,22
0.92,22
0.92,22
0.92,22
0.92,23
0.93,23
0.93,23
0.93,23
0.93,22
0.93,22
0.93,22
0.93,23
0.94,22
0.94,22
0.94,22
0.94,22
0.94,22
0.94,22
0.95,22
0.95,22
0.95,21
0.95,22
0.95,22
0.95,22
0.95,22
0.96,22
0.96,22
0.96,22
0.96,22
0.96,22
0.96,21
0.96,21
0.97,22
0.97,22
0.97,21
0.97,22
0.97,22
0.97,22
0.98,21
0.98,21
