Time_s,ADC
0.0,18
0.0,18
0.0,17
0.0,17
0.01,17
0.01,17
0.01,17
0.01,18
0.01,17
0.01,17
0.01,18
0.02,17
0.02,17
0.02,17
0.02,17
0.02,17
0.02,17
0.03,17
0.03,17
0.03,17
0.03,17
0.03,17
0.03,17
0.03,17
0.04,17
0.04,16
0.04,17
0.04,16
0.04,17
0.04,16
0.05,17
0.05,17
0.05,16
0.05,17
0.05,16
0.05,16
0.05,16
0.06,17
0.06,17
0.06,16
0.06,16
0.06,16
0.06,16
0.07,17
0.07,17
0.07,17
0.07,16
0.07,17
0.07,17
0.07,17
0.08,17
0.08,17
0.08,17
0.08,17
0.08,17
0.08,17
0.09,17
0.09,17
0.09,17
0.09,17
0.09,17
0.09,17
0.1,17
0.1,17
0.1,17
0.1,17
0.1,17
0.1,17
0.1,17
0.11,17
0.11,17
0.11,17
0.11,17
0.11,17
0.11,17
0.11,17
0.12,17
0.12,17
0.12,16
0.12,16
0.12,16
0.12,17
0.12,16
0.13,16
0.13,16
0.13,16
0.13,17
0.13,17
0.13,16
0.14,16
0.14,16
0.14,16
0.14,16
0.14,16
0.14,16
0.14,16
0.15,16
0.15,16
0.15,17
0.15,16
0.15,16
0.15,16
0.16,16
0.16,16
0.16,16
0.16,16
0.16,16
0.16,16
0.17,16
0.17,16
0.17,16
0.17,16
0.17,16
0.17,16
0.17,16
0.18,16
0.18,16
0.18,16
0.18,16
0.18,16
0.18,16
0.19,16
0.19,16
0.19,16
0.19,16
0.19,16
0.19,16
0.19,16
0.2,16
0.2,16
0.2,17
0.2,17
0.2,16
0.2,16
0.2,16
0.21,16
0.21,16
0.21,16
0.21,17
0.21,16
0.22,16
0.22,16
0.22,16
0.22,16
0.22,16
0.22,16
0.22,16
0.22,16
0.23,16
0.23,16
0.23,17
0.23,16
0.23,16
0.23,16
0.24,16
0.24,16
0.24,16
0.24,16
0.24,16
0.24,17
0.25,16
0.25,16
0.25,16
0.25,16
0.25,16
0.25,16
0.25,16
0.26,16
0.26,16
0.26,16
0.26,16
0.26,17
0.26,16
0.26,17
0.27,16
0.27,16
0.27,16
0.27,16
0.27,17
0.27,16
0.28,16
0.28,17
0.28,17
0.28,17
0.28,16
0.28,16
0.28,16
0.29,16
0.29,16
0.29,16
0.29,16
0.29,16
0.29,16
0.3,17
0.3,17
0.3,16
0.3,16
0.3,16
0.3,16
0.31,16
0.31,16
0.31,16
0.31,16
0.31,16
0.31,17
0.31,16
0.32,16
0.32,16
0.32,16
0.32,16
0.32,16
0.32,16
0.32,16
0.33,16
0.33,16
0.33,16
0.33,16
0.33,16
0.33,16
0.34,16
0.34,16
0.34,16
0.34,16
0.34,16
0.34,16
0.35,16
0.35,16
0.35,16
0.35,16
0.35,16
0.35,16
0.35,16
0.36,16
0.36,16
0.36,16
0.36,16
0.36,16
0.36,16
0.37,16
0.37,16
0.37,16
0.37,16
0.37,16
0.37,16
0.37,16
0.38,16
0.38,16
0.38,16
0.38,16
0.38,16
0.38,16
0.39,16
0.39,16
0.39,16
0.39,16
0.39,16
0.39,16
0.4,16
0.4,16
0.4,16
0.4,16
0.4,16
0.4,16
0.4,16
0.41,16
0.41,16
0.41,16
0.41,16
0.41,16
0.41,16
0.41,16
0.42,16
0.42,16
0.42,16
0.42,16
0.42,16
0.42,16
0.43,16
0.43,16
0.43,16
0.43,16
0.43,16
0.43,16
0.44,16
0.44,16
0.44,16
0.44,16
0.44,16
0.44,16
0.44,16
0.45,16
0.45,16
