Time_s,ADC
0.0,32
0.0,31
0.0,32
0.0,32
0.01,31
0.01,31
0.01,31
0.01,30
0.01,30
0.01,29
0.01,30
0.02,31
0.02,31
0.02,31
0.02,31
0.02,32
0.02,32
0.03,32
0.03,32
0.03,31
0.03,31
0.03,31
0.03,32
0.03,31
0.04,31
0.04,31
0.04,32
0.04,33
0.04,32
0.04,32
0.05,31
0.05,31
0.05,32
0.05,32
0.05,32
0.05,32
0.05,32
0.06,32
0.06,32
0.06,32
0.06,31
0.06,30
0.06,31
0.07,31
0.07,31
0.07,31
0.07,30
0.07,30
0.07,30
0.07,30
0.08,30
0.08,29
0.08,29
0.08,29
0.08,30
0.08,30
0.09,30
0.09,31
0.09,30
0.09,30
0.09,31
0.09,31
0.1,31
0.1,30
0.1,31
0.1,32
0.1,32
0.1,32
0.1,32
0.11,32
0.11,32
0.11,33
0.11,32
0.11,32
0.11,31
0.11,32
0.12,32
0.12,32
0.12,31
0.12,31
0.12,31
0.12,31
0.12,31
0.13,31
0.13,30
0.13,30
0.13,31
0.13,32
0.13,31
0.14,31
0.14,31
0.14,31
0.14,32
0.14,31
0.14,31
0.14,30
0.15,30
0.15,31
0.15,31
0.15,32
0.15,31
0.15,31
0.16,31
0.16,32
0.16,32
0.16,31
0.16,31
0.16,31
0.17,31
0.17,32
0.17,31
0.17,31
0.17,32
0.17,32
0.17,32
0.18,31
0.18,31
0.18,30
0.18,30
0.18,31
0.18,31
0.19,30
0.19,31
0.19,31
0.19,32
0.19,32
0.19,32
0.19,32
0.2,31
0.2,32
0.2,33
0.2,33
0.2,32
0.2,32
0.2,33
0.21,33
0.21,33
0.21,33
0.21,33
0.21,32
0.22,32
0.22,33
0.22,33
0.22,32
0.22,32
0.22,32
0.22,33
0.22,33
0.23,33
0.23,33
0.23,32
0.23,33
0.23,33
0.23,32
0.24,32
0.24,32
0.24,33
0.24,33
0.24,33
0.24,32
0.25,32
0.25,32
0.25,33
0.25,34
0.25,33
0.25,33
0.25,32
0.26,32
0.26,33
0.26,33
0.26,33
0.26,32
0.26,32
0.26,32
0.27,32
0.27,32
0.27,32
0.27,32
0.27,33
0.27,32
0.28,32
0.28,31
0.28,31
0.28,31
0.28,31
0.28,31
0.28,30
0.29,30
0.29,30
0.29,30
0.29,31
0.29,30
0.29,30
0.29,29
0.3,29
0.3,30
0.3,30
0.3,29
0.3,29
0.3,30
0.31,31
0.31,31
0.31,31
0.31,30
0.31,30
0.31,30
0.32,30
0.32,30
0.32,29
0.32,29
0.32,28
0.32,29
0.32,29
0.33,28
0.33,29
0.33,28
0.33,28
0.33,29
0.33,28
0.34,28
0.34,28
0.34,27
0.34,28
0.34,28
0.34,27
0.35,27
0.35,26
0.35,28
0.35,28
0.35,27
0.35,27
0.35,28
0.36,27
0.36,28
0.36,28
0.36,28
0.36,27
0.36,27
0.37,28
0.37,27
0.37,27
0.37,28
0.37,28
0.37,28
0.37,29
0.38,28
0.38,27
0.38,27
0.38,27
0.38,28
0.38,28
0.39,28
0.39,27
0.39,28
0.39,28
0.39,28
0.39,28
0.4,28
0.4,27
0.4,29
0.4,30
0.4,31
0.4,30
0.4,30
0.4,30
0.41,31
0.41,31
0.41,30
0.41,30
0.41,30
0.41,31
0.42,31
0.42,31
0.42,31
0.42,32
0.42,31
0.42,32
0.43,31
0.43,31
0.43,30
0.43,30
0.43,31
0.43,31
0.44,31
0.44,31
0.44,30
0.44,31
0.44,32
0.44,33
0.44,34
0.45,33
0.45,33
0.45,34
0.45,34
0.45,33
0.45,33
0.45,33
0.46,32
0.46,32
0.46,32
0.46,31
0.46,31
0.46,31
0.46,32
0.47,32
0.47,31
0.47,31
0.47,31
0.47,32
0.47,33
0.48,32
0.48,32
0.48,31
0.48,32
0.48,32
0.48,32
0.49,31
0.49,32
0.49,33
0.49,33
0.49,33
0.49,32
0.5,32
0.5,31
0.5,32
0.5,32
0.5,32
0.5,31
0.5,32
0.5,33
0.51,34
0.51,34
0.51,35
0.51,34
0.51,33
0.51,35
0.52,35
0.52,35
0.52,34
0.52,34
0.52,34
0.52,35
0.53,34
0.53,34
0.53,33
0.53,33
0.53,33
0.53,34
0.54,33
0.54,33
0.54,33
0.54,34
0.54,34
0.54,34
0.54,33
0.55,33
0.55,33
0.55,33
0.55,33
0.55,33
0.55,32
0.56,32
0.56,33
0.56,33
0.56,33
0.56,33
0.56,32
0.56,33
0.57,33
0.57,33
0.57,32
0.57,32
0.57,32
0.57,32
0.57,32
0.58,32
0.58,31
0.58,31
0.58,31
0.58,32
0.58,32
0.59,31
0.59,31
0.59,31
0.59,31
0.59,31
0.59,31
0.6,30
0.6,30
0.6,30
0.6,30
0.6,30
0.6,30
0.61,29
0.61,29
0.61,30
0.61,29
0.61,29
0.61,29
0.61,28
0.61,29
0.62,29
0.62,29
0.62,29
0.62,29
0.62,30
0.62,30
0.63,30
0.63,29
0.63,29
0.63,29
0.63,29
0.63,29
0.63,28
0.64,28
0.64,28
0.64,28
0.64,29
0.64,28
0.65,28
0.65,27
0.65,27
0.65,27
0.65,28
0.65,28
0.65,27
0.66,27
0.66,28
0.66,28
0.66,28
0.66,27
0.66,27
0.67,28
0.67,28
0.67,28
0.67,28
0.67,28
0.67,28
0.67,29
0.68,29
0.68,29
0.68,29
0.68,28
0.68,30
0.68,30
0.69,30
0.69,29
0.69,29
0.69,29
0.69,30
0.69,30
0.69,30
0.7,29
0.7,28
0.7,30
0.7,29
0.7,29
0.7,29
0.7,30
0.71,30
0.71,30
0.71,31
0.71,31
0.71,30
0.71,31
0.71,32
0.72,32
0.72,32
0.72,32
0.72,32
0.72,32
0.72,32
0.73,31
0.73,31
0.73,30
0.73,30
0.73,31
0.74,31
0.74,31
0.74,31
0.74,31
0.74,31
0.74,31
0.74,30
0.75,30
0.75,29
0.75,30
0.75,30
0.75,30
0.75,29
0.75,29
0.76,29
0.76,30
0.76,31
0.76,30
0.76,30
0.76,29
0.76,30
0.77,30
0.77,30
0.77,30
0.77,30
0.77,30
0.77,30
0.78,30
0.78,30
0.78,29
0.78,29
0.78,29
0.78,29
0.79,28
0.79,28
0.79,27
0.79,27
0.79,27
0.79,27
0.79,26
0.8,26
0.8,26
0.8,27
0.8,27
0.8,27
0.8,27
0.81,27
0.81,28
0.81,28
0.81,28
0.81,28
0.81,27
0.81,27
0.82,28
0.82,27
0.82,27
0.82,27
0.82,27
0.82,28
0.83,28
0.83,28
0.83,28
0.83,27
0.83,28
0.83,29
0.83,29
0.84,28
0.84,28
0.84,28
0.84,30
0.84,31
0.84,30
0.85,30
0.85,29
0.85,30
0.85,31
0.85,31
0.85,30
0.86,31
0.86,31
0.86,31
0.86,31
0.86,31
0.86,30
0.86,30
0.86,30
0.87,31
0.87,30
0.87,30
0.87,30
0.87,31
0.88,31
0.88,31
0.88,30
0.88,30
0.88,29
0.88,30
0.88,31
0.88,30
0.89,30
0.89,30
0.89,31
0.89,31
0.89,30
0.89,30
0.9,30
0.9,30
0.9,31
0.9,31
0.9,30
0.9,31
0.91,32
0.91,31
0.91,32
0.91,32
0.91,32
0.91,32
0.91,33
0.92,35
0.92,36
0.92,34
0.92,34
0.92,34
0.92,35
0.93,35
0.93,35
0.93,35
0.93,34
0.93,34
0.93,34
0.93,34
0.94,33
0.94,34
0.94,34
0.94,34
0.94,34
0.94,34
0.95,33
0.95,33
0.95,33
0.95,34
0.95,33
0.95,33
0.95,34
0.96,33
0.96,33
0.96,33
0.96,32
0.96,32
0.96,31
0.96,32
0.97,33
0.97,32
0.97,32
0.97,32
0.97,32
0.97,32
0.98,32
0.98,32
0.98,31
0.98,30
0.98,31
0.98,32
0.99,31
0.99,31
0.99,31
0.99,30
0.99,31
0.99,31
1.0,30
1.0,29
1.0,29
1.0,29
1.0,30
1.0,30
1.0,30
1.01,30
1.01,30
1.01,31
1.01,30
1.01,30
1.01,30
1.01,30
1.02,31
1.02,31
1.02,30
1.02,30
1.02,30
1.02,32
1.03,32
1.03,31
1.03,31
1.03,30
1.03,31
1.03,31
1.03,31
1.04,30
1.04,30
1.04,30
1.04,31
1.04,31
1.04,30
1.05,30
1.05,29
1.05,30
1.05,32
1.05,32
1.05,31
1.05,31
1.06,31
1.06,32
1.06,33
1.06,33
1.06,32
1.06,32
1.07,32
1.07,34
1.07,34
1.07,34
1.07,34
1.07,34
1.08,33
1.08,33
1.08,34
1.08,33
1.08,32
1.08,33
1.08,34
1.09,33
1.09,33
1.09,34
1.09,35
1.09,35
1.09,34
1.1,33
1.1,33
1.1,32
1.1,33
1.1,32
1.1,32
1.1,34
1.11,34
1.11,33
1.11,33
1.11,34
1.11,35
1.11,34
1.12,34
1.12,33
1.12,34
1.12,33
1.12,33
1.12,33
1.12,33
1.13,34
1.13,33
1.13,32
1.13,32
1.13,32
1.13,33
1.13,32
1.14,32
1.14,32
1.14,33
1.14,35
1.14,36
1.14,36
1.15,36
1.15,35
1.15,37
1.15,37
1.15,37
1.15,36
1.16,35
1.16,36
1.16,35
1.16,35
1.16,35
1.16,34
1.16,35
1.17,35
1.17,34
1.17,34
1.17,33
1.17,34
1.17,33
1.17,33
1.18,32
1.18,33
1.18,33
1.18,33
1.18,34
1.18,34
1.19,34
1.19,34
1.19,35
1.19,34
1.19,35
1.2,35
1.2,34
1.2,33
1.2,34
1.2,34
1.2,34
1.2,34
1.21,34
1.21,33
1.21,33
1.21,33
1.21,32
1.21,32
1.21,31
1.22,32
1.22,31
1.22,31
1.22,31
1.22,32
1.22,32
1.23,31
1.23,31
1.23,31
1.23,30
1.23,30
1.23,29
1.23,29
1.24,29
1.24,30
1.24,29
1.24,29
1.24,30
1.24,30
1.25,31
1.25,31
1.25,32
1.25,33
1.25,32
1.25,33
1.25,34
1.26,35
1.26,35
1.26,34
1.26,34
1.26,34
1.26,35
1.26,35
1.27,35
1.27,36
1.27,37
1.27,37
1.27,36
1.27,35
1.28,34
1.28,35
1.28,35
1.28,34
1.28,33
1.28,33
1.29,32
1.29,32
1.29,31
1.29,31
1.29,31
1.29,30
1.29,30
1.3,29
1.3,29
1.3,29
1.3,30
1.3,31
1.3,31
1.31,31
1.31,32
1.31,32
1.31,33
1.31,34
1.31,34
1.32,34
1.32,35
1.32,37
1.32,36
1.32,36
1.32,38
1.33,43
1.33,47
1.33,46
1.33,46
1.33,48
1.33,52
1.33,54
1.34,55
1.34,54
1.34,53
1.34,54
1.34,53
1.34,53
1.34,53
1.35,53
1.35,54
1.35,53
1.35,52
1.35,54
1.35,53
1.36,53
1.36,55
1.36,57
1.36,56
1.36,56
1.36,57
1.36,62
1.37,62
1.37,64
1.37,63
1.37,63
1.37,70
1.37,78
1.38,78
1.38,79
1.38,86
1.38,106
1.38,116
1.38,117
1.38,117
1.39,119
1.39,131
1.39,150
1.39,161
1.39,158
1.39,156
1.4,152
1.4,147
1.4,142
1.4,143
1.4,152
1.4,159
1.4,158
1.41,159
1.41,160
1.41,163
1.41,160
1.41,157
1.42,152
1.42,150
1.42,149
1.42,147
1.42,151
1.42,150
1.42,146
1.43,143
1.43,140
1.43,138
1.43,136
1.43,139
1.43,139
1.44,136
1.44,135
1.44,133
1.44,137
1.44,144
1.44,142
1.45,146
1.45,152
1.45,155
1.45,168
1.45,183
1.45,185
1.46,181
1.46,179
1.46,181
1.46,177
1.46,178
1.46,179
1.47,190
1.47,198
1.47,195
1.47,201
1.47,211
1.47,219
1.47,215
1.48,209
1.48,206
1.48,201
1.48,197
1.48,191
1.48,186
1.49,180
1.49,176
1.49,174
1.49,169
1.49,163
1.49,160
1.5,155
1.5,154
1.5,158
1.5,157
1.5,154
1.5,152
1.5,152
1.51,151
1.51,146
1.51,148
1.51,149
1.51,149
1.51,152
1.52,153
1.52,150
1.52,152
1.52,150
1.52,148
1.52,145
1.52,145
1.53,141
1.53,137
1.53,138
1.53,135
1.53,131
1.54,131
1.54,128
1.54,124
1.54,120
1.54,119
1.54,117
1.54,114
1.55,115
1.55,113
1.55,110
1.55,109
1.55,108
1.55,105
1.56,103
1.56,102
1.56,102
1.56,102
1.56,103
1.56,102
1.57,108
1.57,114
1.57,115
1.57,112
1.57,111
1.57,118
1.58,122
1.58,122
1.58,120
1.58,119
1.58,117
1.58,121
1.59,124
1.59,123
1.59,119
1.59,117
1.59,115
1.59,116
1.59,114
1.6,112
1.6,109
1.6,111
1.6,112
1.6,111
1.6,110
1.61,109
1.61,109
1.61,110
1.61,109
1.61,106
1.61,105
1.61,109
1.62,111
1.62,109
1.62,105
1.62,104
1.62,104
1.63,107
1.63,112
1.63,111
1.63,107
1.63,107
1.63,110
1.63,109
1.64,108
1.64,107
1.64,106
1.64,108
1.64,108
1.64,107
1.65,105
1.65,104
1.65,103
1.65,100
1.65,98
1.65,95
1.65,93
1.66,91
1.66,90
1.66,88
1.66,85
1.66,84
1.66,83
1.67,82
1.67,80
1.67,80
1.67,83
1.67,86
1.67,86
1.67,91
1.68,90
1.68,87
1.68,86
1.68,85
1.68,83
1.68,82
1.69,83
1.69,87
1.69,87
1.69,84
1.69,82
1.69,80
1.7,80
1.7,79
1.7,79
1.7,79
1.7,79
1.7,78
1.7,79
1.71,88
1.71,89
1.71,87
1.71,94
1.71,96
1.71,95
1.72,94
1.72,97
1.72,98
1.72,96
1.72,96
1.72,98
1.73,99
1.73,98
1.73,95
1.73,93
1.73,91
1.73,93
1.73,96
1.74,95
1.74,93
1.74,94
1.74,96
1.74,94
1.74,95
1.74,98
1.75,98
1.75,96
1.75,98
1.75,102
1.75,103
1.75,101
1.76,98
1.76,95
1.76,96
1.76,101
1.76,106
1.76,105
1.76,107
1.77,108
1.77,110
1.77,110
1.77,111
1.77,112
1.77,110
1.78,111
1.78,109
1.78,108
1.78,106
1.78,103
1.78,102
1.79,101
1.79,99
1.79,97
1.79,100
1.79,101
1.79,99
1.8,99
1.8,97
1.8,98
1.8,107
1.8,107
1.8,119
1.8,121
1.81,126
1.81,124
1.81,124
1.81,125
1.81,127
1.81,132
1.82,132
1.82,130
1.82,137
1.82,137
1.82,143
1.82,145
1.83,144
1.83,145
1.83,141
1.83,142
1.83,142
1.83,141
1.84,139
1.84,136
1.84,135
1.84,135
1.84,135
1.84,138
1.85,135
1.85,131
1.85,128
1.85,125
1.85,124
1.85,122
1.86,119
1.86,122
1.86,122
1.86,125
1.86,125
1.86,122
1.86,119
1.86,123
1.87,127
1.87,124
1.87,122
1.87,122
1.87,120
1.88,117
1.88,114
1.88,111
1.88,108
1.88,115
1.88,118
1.88,116
1.89,116
1.89,123
1.89,124
1.89,122
1.89,119
1.9,116
1.9,115
1.9,117
1.9,117
1.9,117
1.9,114
1.9,111
1.9,110
1.91,117
1.91,117
1.91,117
1.91,116
1.91,129
1.91,134
1.92,133
1.92,133
1.92,136
1.92,148
1.92,149
1.92,156
1.93,166
1.93,173
1.93,173
1.93,169
1.93,167
1.93,167
1.94,165
1.94,165
1.94,165
1.94,165
1.94,169
1.94,172
1.95,167
1.95,161
1.95,159
1.95,156
1.95,153
1.95,156
1.96,155
1.96,153
1.96,151
1.96,147
1.96,144
1.96,141
1.97,138
1.97,134
1.97,130
1.97,126
1.97,130
1.97,134
1.98,146
1.98,152
1.98,160
1.98,167
1.98,169
1.98,168
1.98,168
1.99,166
1.99,161
1.99,158
1.99,165
1.99,176
1.99,185
2.0,187
2.0,201
2.0,210
2.0,207
2.0,210
2.0,218
2.0,215
2.01,216
2.01,212
2.01,212
2.01,218
2.01,222
2.02,218
2.02,215
2.02,209
2.02,215
2.02,222
2.02,221
2.02,215
2.03,215
2.03,217
2.03,215
2.03,208
2.03,203
2.03,196
2.04,196
2.04,193
2.04,192
2.04,186
2.04,186
2.04,183
2.04,180
2.05,177
2.05,176
2.05,175
2.05,170
2.05,167
2.05,174
2.06,182
2.06,177
2.06,173
2.06,168
2.06,164
2.06,163
2.07,169
2.07,168
2.07,163
2.07,160
2.07,155
2.07,151
2.08,148
2.08,151
2.08,148
2.08,144
2.08,139
2.08,136
2.08,133
2.09,137
2.09,136
2.09,136
2.09,135
2.09,137
2.09,137
2.1,136
2.1,144
2.1,146
2.1,143
2.1,149
2.1,159
2.11,155
2.11,162
2.11,176
2.11,176
2.11,180
2.11,179
2.12,176
2.12,180
2.12,180
2.12,179
2.12,174
2.12,168
2.12,167
2.13,165
2.13,165
2.13,161
2.13,160
2.13,169
2.14,167
2.14,162
2.14,164
2.14,166
2.14,162
2.14,157
2.14,152
2.15,152
2.15,160
2.15,167
2.15,164
2.15,172
2.15,174
2.16,169
2.16,166
2.16,163
2.16,159
2.16,163
2.16,161
2.16,162
2.17,160
2.17,159
2.17,166
2.17,173
2.17,182
2.17,185
2.18,183
2.18,193
2.18,213
2.18,215
2.18,214
2.18,208
2.19,203
2.19,199
2.19,217
2.19,219
2.19,218
2.19,216
2.2,213
2.2,208
2.2,204
2.2,199
2.2,192
2.2,190
2.2,202
2.21,202
2.21,200
2.21,199
2.21,200
2.21,193
2.21,188
2.22,182
2.22,177
2.22,172
2.22,176
2.22,180
2.22,175
2.23,179
2.23,181
2.23,177
2.23,174
2.23,168
2.23,168
2.24,164
2.24,160
2.24,162
2.24,161
2.24,157
2.24,156
2.24,157
2.25,170
2.25,178
2.25,199
2.25,209
2.25,209
2.25,205
2.26,198
2.26,193
2.26,187
2.26,186
2.26,201
2.26,206
2.27,205
2.27,205
2.27,215
2.27,236
2.27,232
2.27,225
2.28,221
2.28,217
2.28,211
2.28,207
2.28,203
2.28,208
2.29,206
2.29,203
2.29,207
2.29,206
2.29,203
2.29,199
2.29,198
2.3,193
2.3,187
2.3,181
2.3,177
2.3,176
2.3,174
2.31,183
2.31,181
2.31,180
2.31,178
2.31,184
2.31,184
2.32,179
2.32,174
2.32,169
2.32,165
2.32,170
2.32,171
2.33,167
2.33,169
2.33,170
2.33,172
2.33,167
2.33,165
2.33,159
2.34,154
2.34,152
2.34,147
2.34,144
2.34,143
2.34,139
2.35,143
2.35,146
2.35,142
2.35,147
2.35,152
2.35,147
2.36,143
2.36,142
2.36,139
2.36,138
2.36,134
2.36,133
2.37,135
2.37,131
2.37,131
2.37,132
2.37,128
2.37,127
2.37,130
2.38,129
2.38,134
2.38,134
2.38,135
2.38,136
2.38,133
2.39,129
2.39,127
2.39,127
2.39,124
2.39,120
2.39,121
2.4,122
2.4,122
2.4,121
2.4,119
2.4,120
2.4,120
2.41,127
2.41,131
2.41,130
2.41,130
2.41,133
2.41,130
2.41,126
2.42,123
2.42,119
2.42,117
2.42,115
2.42,116
2.42,120
2.43,119
2.43,117
2.43,120
2.43,125
2.43,123
2.43,119
2.44,117
2.44,114
2.44,112
2.44,112
2.44,111
2.44,109
2.45,108
2.45,114
2.45,120
2.45,118
2.45,122
2.45,129
2.45,129
2.46,128
2.46,127
2.46,127
2.46,132
2.46,129
2.46,127
2.47,128
2.47,129
2.47,128
2.47,126
2.47,125
2.47,133
2.48,131
2.48,131
2.48,128
2.48,124
2.48,122
2.48,121
2.49,123
2.49,120
2.49,121
2.49,119
2.49,118
2.49,118
2.49,122
2.5,120
2.5,119
2.5,121
2.5,120
2.5,116
2.5,114
2.51,111
2.51,108
2.51,107
2.51,105
2.51,103
2.51,102
2.52,100
2.52,97
2.52,95
2.52,92
2.52,101
2.52,113
2.53,118
2.53,130
2.53,132
2.53,133
2.53,132
2.53,128
2.53,125
2.54,122
2.54,119
2.54,115
2.54,112
2.54,110
2.54,113
2.55,117
2.55,123
2.55,124
2.55,135
2.55,139
2.55,139
2.55,138
2.56,140
2.56,140
2.56,139
2.56,140
2.56,140
2.57,136
2.57,134
2.57,133
2.57,130
2.57,127
2.57,129
2.57,131
2.58,129
2.58,129
2.58,130
2.58,128
2.58,128
2.58,124
2.59,120
2.59,125
2.59,126
2.59,125
2.59,136
2.59,137
2.59,134
2.6,130
2.6,129
2.6,127
2.6,124
2.6,123
2.61,121
2.61,125
2.61,130
2.61,130
2.61,132
2.61,136
2.61,136
2.62,133
2.62,132
2.62,130
2.62,129
2.62,128
2.62,127
2.63,131
2.63,129
2.63,127
2.63,123
2.63,125
2.63,135
2.64,143
2.64,144
2.64,154
2.64,160
2.64,157
2.64,160
2.64,162
2.65,157
2.65,152
2.65,150
2.65,147
2.65,144
2.65,140
2.66,137
2.66,139
2.66,137
2.66,134
2.66,132
2.66,132
2.67,135
2.67,134
2.67,139
2.67,142
2.67,144
2.67,142
2.68,144
2.68,141
2.68,136
2.68,133
2.68,129
2.68,126
2.68,123
2.69,119
2.69,119
2.69,119
2.69,122
2.69,121
2.69,122
2.7,124
2.7,121
2.7,122
2.7,119
2.7,119
2.7,120
2.71,118
2.71,122
2.71,123
2.71,119
2.71,115
2.71,112
2.72,112
2.72,112
2.72,109
2.72,110
2.72,110
2.72,109
2.72,112
2.73,115
2.73,115
2.73,125
2.73,124
2.73,127
2.73,137
2.74,134
2.74,131
2.74,129
2.74,130
2.74,133
2.74,145
2.75,144
2.75,142
2.75,145
2.75,148
2.75,149
2.75,148
2.76,143
2.76,141
2.76,139
2.76,135
2.76,130
2.76,126
2.76,123
2.77,124
2.77,122
2.77,119
2.77,116
2.77,116
2.78,113
2.78,110
2.78,111
2.78,117
2.78,117
2.78,122
2.78,128
2.79,126
2.79,122
2.79,121
2.79,119
2.79,124
2.79,141
2.8,147
2.8,160
2.8,157
2.8,155
2.8,165
2.8,162
2.8,158
2.81,160
2.81,159
2.81,156
2.81,164
2.81,165
2.81,171
2.82,166
2.82,160
2.82,156
2.82,151
2.82,150
2.82,160
2.83,159
2.83,155
2.83,155
2.83,153
2.83,150
2.83,146
2.84,144
2.84,142
2.84,140
2.84,145
2.84,148
2.84,147
2.84,152
2.85,151
2.85,152
2.85,153
2.85,151
2.85,148
2.85,145
2.86,145
2.86,153
2.86,153
2.86,151
2.86,149
2.86,148
2.87,150
2.87,156
2.87,153
2.87,151
2.87,155
2.87,150
2.88,146
2.88,145
2.88,146
2.88,146
2.88,147
2.88,143
2.88,138
2.89,136
2.89,137
2.89,134
2.89,130
2.89,127
2.89,125
2.9,125
2.9,123
2.9,128
2.9,130
2.9,127
2.9,123
2.91,123
2.91,120
2.91,117
2.91,121
2.91,119
2.91,128
2.92,129
2.92,129
2.92,125
2.92,122
2.92,122
2.92,121
2.92,122
2.93,125
2.93,127
2.93,128
2.93,127
2.93,124
2.93,122
2.94,121
2.94,123
2.94,129
2.94,139
2.94,143
2.94,146
2.95,143
2.95,141
2.95,140
2.95,145
2.95,144
2.95,140
2.96,136
2.96,133
2.96,130
2.96,131
2.96,130
2.96,133
2.96,131
2.97,128
2.97,125
2.97,123
2.97,121
2.97,122
2.97,121
2.98,125
2.98,124
2.98,129
2.98,127
2.98,127
2.98,129
2.98,133
2.99,132
2.99,131
2.99,131
2.99,129
2.99,128
3.0,128
3.0,130
3.0,131
3.0,139
3.0,141
3.0,144
3.0,144
3.01,145
3.01,141
3.01,139
3.01,138
3.01,136
3.01,136
